Policy,Indicator,score,rank
C1_School closing,Prevalence of Hypertensive heart disease,0.011411889829435255,35
C1_School closing,Gini index (World Bank estimate),0.01111015692767864,36
C1_School closing,Volume of imports,0.01107928016900196,37
C1_School closing,"Electricity production from oil, gas and coal sources",0.011075317526679054,38
C1_School closing,Proportion of women in managerial positions (%),0.010293164158823158,39
C1_School closing,Political stability and absence of violence/terrorism estimate,0.010287731391561973,40
C1_School closing,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",0.01018923144221504,41
C1_School closing,Regulatory quality estimate,0.010007198123895245,42
C1_School closing,Coverage of unemployment benefits and ALMP (% of population),0.009849096130596296,43
C1_School closing,Electricity production from oil sources,0.009824090748841025,44
C1_School closing,CO2 emissions (kt),0.009760726235898796,45
C1_School closing,"Energy imports, net ",0.009726196975902265,46
C1_School closing,"Physicians (per 1,000 people)",0.009647586159587059,47
C1_School closing,Electric power consumption ,0.009640301846575655,48
C1_School closing,"Prevalence of overweight (modeled estimate, % of children under 5)",0.009606416393562555,49
C1_School closing,Volume of exports,0.00955791965660987,50
C1_School closing,"Incidence of tuberculosis (per 100,000 people)",0.00948832652861484,51
C1_School closing,Unemployment rate (%) - Annual,0.009388467596488153,52
C1_School closing,Employment in services (% of total employment) (modeled ILO estimate),0.009370439740190714,53
C1_School closing,"Population, total",0.009346894801964756,54
C1_School closing,"Immunization, measles (% of children ages 12-23 months)",0.009259820890479257,55
C1_School closing,Energy use (kg of oil equivalent per capita),0.009255961906349574,56
C1_School closing,Electricity production from coal sources ,0.00920433158971379,57
C1_School closing,Government effectiveness estimate,0.00916488267195698,58
C1_School closing,Prevalence of down syndrome,0.00913389186886324,59
C1_School closing,"Intentional homicides (per 100,000 people)",0.009065984027394756,60
C1_School closing,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",0.008963196308608003,61
C1_School closing,"Electricity production from renewable sources, excluding hydroelectric",0.008950864358190484,62
C1_School closing,Proportion of population spending more than 10% of household consumption or income on out-of-pocket health care expenditure (%),0.008886970781510172,63
C1_School closing,Fixed broadband subscriptions,0.008797747444251497,64
C1_School closing,Prevalence of Depressive disorders,0.008772326427733018,65
C1_School closing,Women who believe a husband is justified in beating his wife (any of five reasons) (%),0.008748572896307458,66
C1_School closing,Age dependency ratio (% of working-age population),0.008562889572071047,67
C1_School closing,Fixed telephone subscriptions,0.008508179134245439,68
C1_School closing,Electricity production from nuclear sources ,0.008436336546103049,69
C1_School closing,"Primary completion rate, total (% of relevant age group)",0.00834154810262826,70
C1_School closing,Coverage of social safety net programs (% of population),0.008250031256242386,71
C1_School closing,Control of corruption estimate,0.008147382339142256,72
C1_School closing,Fossil fuel energy consumption,0.008099489047062458,73
C1_School closing,People using at least basic sanitation services (% of population),0.008080411014816756,74
C1_School closing,Proportion of population pushed below the $1.90 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure (%),0.008011239765958167,75
C1_School closing,Fixed telephone (per 100 people),0.007764386868665446,76
C1_School closing,Expenditure on education (% of GDP),0.007642778928728739,77
C1_School closing,Access to electricity ,0.007593038242981712,78
C1_School closing,CO2 emissions (metric tons per capita),0.007479046727357729,79
C1_School closing,Press freedom score,0.007461345019626229,80
C1_School closing,People using safely managed drinking water services (% of population),0.007414094111006151,81
C1_School closing,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",0.007134996336416734,82
C1_School closing,"Net migration rate, per 1000 population",0.00704749245879889,83
C1_School closing,Prevalence of Respiratory infections and tuberculosis,0.00694620498021976,84
C1_School closing,Expenditure on social protection (% of GDP),0.006839009945286975,85
C1_School closing,"International tourism, receipts",0.006813143123763217,86
C1_School closing,Rural population (% of total population),0.0065480375771802875,87
C1_School closing,Proportion of people living below 50 percent of median income (%),0.006315676506660329,88
C1_School closing,"Lending interest rates, percent per annum",0.005919430609684035,89
C1_School closing,COVID-19 vaccine administered,0.0057943515547662,90
C1_School closing,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",0.005415980574021017,91
C1_School closing,Expenditure on health (% of GDP),0.005116603613790066,92
C1_School closing,Growth rates of household expenditure or income per capita (%),0.0050956182362826225,93
C1_School closing,Hospital beds (per 10 000 population),0.004977133926007255,94
C1_School closing,Internet users (per 100 people),0.0042150274876798545,95
C1_School closing,Starting a Business (Score),0.004155499524357246,96
C1_School closing,Stock market capitalization (US$ million),0.0038411876916520627,97
C1_School closing,Progression to secondary school (%),0.0037371135532364235,98
C1_School closing,Age dependency ratio,0.0036307197541953096,99
C1_School closing,"Literacy rate, adult total (% of people ages 15 and above)",0.003447049300611496,100
C1_School closing,Mobile cellular (per 100 people),0.003072046716068704,101
C1_School closing,People with basic handwashing facilities including soap and water (% of population),0.0029000967423231335,102
C1_School closing,Refugee population by country or territory of asylum,0.0020293153236756447,103
C1_School closing,"Age dependency ratio, old (% of working-age population)",0.0018670840469692741,104
C1_School closing,"Output per worker (GDP constant 2011 international $ in PPP -- ILO modelled estimates, Nov. 2019",0.0,105
C2_Workplace closing,Individuals using the Internet,0.018601893635986338,1
C2_Workplace closing,"Unemployment, total (% of total labor force) (modeled ILO estimate)",0.016792500021075546,2
C2_Workplace closing,Prevalence of COVID-19,0.01669788621335125,3
C2_Workplace closing,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),0.016366694149478868,4
C2_Workplace closing,Voice and accountability estimate,0.016357915301717752,5
C2_Workplace closing,Employment in services (% of total employment) (modeled ILO estimate),0.015952069792613044,6
C2_Workplace closing,Government effectiveness estimate,0.014545409066297742,7
C2_Workplace closing,CO2 emissions (kt),0.014534873303954993,8
C2_Workplace closing,Gini index (World Bank estimate),0.014365483530380831,9
C2_Workplace closing,Prevalence of total cancers,0.014245555739546379,10
C2_Workplace closing,Volume of exports,0.014190320776807014,11
C2_Workplace closing,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",0.01412692143462679,12
C2_Workplace closing,Prevalence of Depressive disorders,0.013842713812618508,13
C2_Workplace closing,"PM2.5 air pollution, mean annual exposure",0.013475199630065403,14
C2_Workplace closing,CO2 emissions (metric tons per capita),0.013376285276514339,15
C2_Workplace closing,Prevalence of Diabetes,0.013097959961469074,16
C2_Workplace closing,Human Development Index,0.012840614162829332,17
C2_Workplace closing,"Immunization, DPT (% of children ages 12-23 months)",0.012838011421655221,18
C2_Workplace closing,Prevalence of down syndrome,0.012651616033097729,19
C2_Workplace closing,"Central government debt, total",0.012393722219315628,20
C2_Workplace closing,Mobile cellular subscriptions,0.01236325633383553,21
C2_Workplace closing,Coverage of unemployment benefits and ALMP (% of population),0.01235386466461114,22
C2_Workplace closing,Electricity production from coal sources ,0.012094822277850225,23
C2_Workplace closing,"Trade, total as % of GDP",0.01199551527093756,24
C2_Workplace closing,Volume of imports,0.011879565082750461,25
C2_Workplace closing,Corruption Perceptions Index,0.011827696037654128,26
C2_Workplace closing,Prevalence of chronic kidney disease,0.011694743720608334,27
C2_Workplace closing,"Nurses and midwives (per 1,000 people)",0.011660681020254537,28
C2_Workplace closing,Combustible renewables and waste,0.011620461609293718,29
C2_Workplace closing,Fixed broadband subscriptions,0.011603827191550217,30
C2_Workplace closing,Summary exposure value tobacco,0.01158890015348625,31
C2_Workplace closing,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",0.011514873902483702,32
C2_Workplace closing,Fixed telephone subscriptions,0.011473072237222645,33
C2_Workplace closing,Net migration,0.01146869528299758,34
C2_Workplace closing,Fossil fuel energy consumption,0.011306841943257095,35
C2_Workplace closing,Prevalence of anxiety disorders,0.011061559994037873,36
C2_Workplace closing,Rule of law estimate ,0.010985541608323449,37
C2_Workplace closing,Hospital beds (per 10 000 population),0.010909252793223327,38
C2_Workplace closing,Coverage of social safety net programs (% of population),0.010846771318428683,39
C2_Workplace closing,"Incidence of tuberculosis (per 100,000 people)",0.010846354178756316,40
C2_Workplace closing,Proportion of women in managerial positions (%),0.010774962773862957,41
C2_Workplace closing,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",0.010687541516092346,42
C2_Workplace closing,"Physicians (per 1,000 people)",0.010651565464138323,43
C2_Workplace closing,"Primary completion rate, total (% of relevant age group)",0.010331900682142358,44
C2_Workplace closing,Proportion of population pushed below the $1.90 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure (%),0.010277398088250417,45
C2_Workplace closing,Secure Internet servers ,0.010157756965055546,46
C2_Workplace closing,Energy use ,0.010092918375373275,47
C2_Workplace closing,Serious assault (rate),0.009975509121530675,48
C2_Workplace closing,Control of corruption estimate,0.009938326076792781,49
C2_Workplace closing,Electricity production from oil sources,0.00980706859564305,50
C2_Workplace closing,People with basic handwashing facilities including soap and water (% of population),0.009778612410961228,51
C2_Workplace closing,Unemployment rate (%) - Annual,0.009656634229817466,52
C2_Workplace closing,Prevalence of obesity,0.00945768783450685,53
C2_Workplace closing,"Adjusted net savings, including particulate emission damage",0.009431100631900753,54
C2_Workplace closing,Political stability and absence of violence/terrorism estimate,0.009402096542559425,55
C2_Workplace closing,Energy use (kg of oil equivalent per capita),0.009379979009640665,56
C2_Workplace closing,Prevalence of Respiratory infections and tuberculosis,0.00913548046346817,57
C2_Workplace closing,Proportion of seats held by women in national parliaments (%),0.009058198794817972,58
C2_Workplace closing,Proportion of population spending more than 10% of household consumption or income on out-of-pocket health care expenditure (%),0.009028178611168454,59
C2_Workplace closing,"Intentional homicides (per 100,000 people)",0.008982288367453488,60
C2_Workplace closing,Urban population (% of total population),0.008965710102600452,61
C2_Workplace closing,Expenditure on education (% of GDP),0.008826840130403553,62
C2_Workplace closing,Rural population (% of total population),0.008796792269404694,63
C2_Workplace closing,"Literacy rate, adult total (% of people ages 15 and above)",0.00872949193807327,64
C2_Workplace closing,"Immunization, measles (% of children ages 12-23 months)",0.008707330538888558,65
C2_Workplace closing,Mortality due to COVID-19,0.008470557143585078,66
C2_Workplace closing,"Electricity production from renewable sources, excluding hydroelectric",0.008306299694176756,67
C2_Workplace closing,Growth rates of household expenditure or income per capita (%),0.008280839970752595,68
C2_Workplace closing,People using safely managed drinking water services (% of population),0.00821851161452324,69
C2_Workplace closing,Regulatory quality estimate,0.00819767878003042,70
C2_Workplace closing,"Electricity production from oil, gas and coal sources",0.008077176291206847,71
C2_Workplace closing,"Output per worker (GDP constant 2011 international $ in PPP -- ILO modelled estimates, Nov. 2019",0.007960329568123335,72
C2_Workplace closing,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",0.007877242819646545,73
C2_Workplace closing,Renewable energy consumption ,0.007869497864052692,74
C2_Workplace closing,"Age dependency ratio, old (% of working-age population)",0.00784218344953368,75
C2_Workplace closing,"Population, total",0.00755473267569893,76
C2_Workplace closing,Press freedom score,0.007466886661201965,77
C2_Workplace closing,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",0.0074197751288848065,78
C2_Workplace closing,Starting a Business (Score),0.0073504354679490205,79
C2_Workplace closing,"Energy imports, net ",0.0071104300240473674,80
C2_Workplace closing,Refugee population by country or territory of asylum,0.006903312751352392,81
C2_Workplace closing,Mobile cellular (per 100 people),0.006681107542873729,82
C2_Workplace closing,People using at least basic sanitation services (% of population),0.006573230689113658,83
C2_Workplace closing,Progression to secondary school (%),0.006564953038540724,84
C2_Workplace closing,Electricity production from nuclear sources ,0.006399593928459215,85
C2_Workplace closing,"International tourism, receipts",0.006287758845724171,86
C2_Workplace closing,"Prevalence of HIV, total (% of population ages 15-49)",0.006246251847209263,87
C2_Workplace closing,Electric power consumption ,0.006112356907881251,88
C2_Workplace closing,Expenditure on social protection (% of GDP),0.005727219878014926,89
C2_Workplace closing,"Prevalence of overweight (modeled estimate, % of children under 5)",0.005596562611738276,90
C2_Workplace closing,Access to electricity ,0.005580378562389871,91
C2_Workplace closing,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",0.005429607958707966,92
C2_Workplace closing,Prevalence of Hypertensive heart disease,0.005269549226768907,93
C2_Workplace closing,Expenditure on health (% of GDP),0.005170414836690688,94
C2_Workplace closing,Fixed telephone (per 100 people),0.005153054641867383,95
C2_Workplace closing,"Foreign direct investment, net",0.00504037908833154,96
C2_Workplace closing,Proportion of people living below 50 percent of median income (%),0.004983687819589237,97
C2_Workplace closing,Internet users (per 100 people),0.004952127744391275,98
C2_Workplace closing,Stock market capitalization (US$ million),0.004384088912455325,99
C2_Workplace closing,"Lending interest rates, percent per annum",0.0038937463633846783,100
C2_Workplace closing,"Net migration rate, per 1000 population",0.002811720647492813,101
C2_Workplace closing,COVID-19 vaccine administered,0.0020996797830869288,102
C2_Workplace closing,Age dependency ratio (% of working-age population),0.0013314794511712783,103
C2_Workplace closing,Age dependency ratio,0.00038384812983991183,104
C2_Workplace closing,Women who believe a husband is justified in beating his wife (any of five reasons) (%),0.0,105
C3_Cancel public events,Individuals using the Internet,0.019362557000928086,1
C3_Cancel public events,People using at least basic sanitation services (% of population),0.01876510645637811,2
C3_Cancel public events,Volume of exports,0.018590620422880354,3
C3_Cancel public events,Regulatory quality estimate,0.01768336134920456,4
C3_Cancel public events,Prevalence of Diabetes,0.016940870728780186,5
C3_Cancel public events,Coverage of unemployment benefits and ALMP (% of population),0.01664137924157748,6
C3_Cancel public events,Prevalence of COVID-19,0.016633955189021048,7
C3_Cancel public events,Fixed broadband subscriptions,0.0160555763382537,8
C3_Cancel public events,"Physicians (per 1,000 people)",0.01531261595739332,9
C3_Cancel public events,Net migration,0.015249217994104903,10
C3_Cancel public events,Voice and accountability estimate,0.015156585438215348,11
C3_Cancel public events,"Prevalence of overweight (modeled estimate, % of children under 5)",0.01508709568933886,12
C3_Cancel public events,Prevalence of anxiety disorders,0.0149996766900624,13
C3_Cancel public events,Human Development Index,0.0148413965221765,14
C3_Cancel public events,Prevalence of Hypertensive heart disease,0.014678294308904497,15
C3_Cancel public events,"Energy imports, net ",0.01453317171447149,16
C3_Cancel public events,"PM2.5 air pollution, mean annual exposure",0.014512943737656608,17
C3_Cancel public events,"Incidence of tuberculosis (per 100,000 people)",0.014290182440797846,18
C3_Cancel public events,"Trade, total as % of GDP",0.014244964055791186,19
C3_Cancel public events,"Immunization, measles (% of children ages 12-23 months)",0.014243414855937005,20
C3_Cancel public events,Press freedom score,0.01418763810867482,21
C3_Cancel public events,Proportion of seats held by women in national parliaments (%),0.013941859556674145,22
C3_Cancel public events,Serious assault (rate),0.013894076912762563,23
C3_Cancel public events,Employment in services (% of total employment) (modeled ILO estimate),0.013366554159162356,24
C3_Cancel public events,Mobile cellular subscriptions,0.013094567657471672,25
C3_Cancel public events,Combustible renewables and waste,0.013001481601278899,26
C3_Cancel public events,CO2 emissions (kt),0.012976090126261403,27
C3_Cancel public events,COVID-19 vaccine administered,0.012277741936609429,28
C3_Cancel public events,Energy use ,0.012094131697446834,29
C3_Cancel public events,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",0.011647779097242168,30
C3_Cancel public events,Gini index (World Bank estimate),0.011606948767457983,31
C3_Cancel public events,Control of corruption estimate,0.01144927598813371,32
C3_Cancel public events,"Unemployment, total (% of total labor force) (modeled ILO estimate)",0.011311663278151165,33
C3_Cancel public events,Summary exposure value tobacco,0.011242415285271638,34
C3_Cancel public events,Volume of imports,0.011237045190182702,35
C3_Cancel public events,"Central government debt, total",0.011174381532895069,36
C3_Cancel public events,Prevalence of obesity,0.01097431877313978,37
C3_Cancel public events,Fossil fuel energy consumption,0.01091584794690118,38
C3_Cancel public events,Electricity production from oil sources,0.010539257142699593,39
C3_Cancel public events,Prevalence of Respiratory infections and tuberculosis,0.010382915079670811,40
C3_Cancel public events,"Intentional homicides (per 100,000 people)",0.010313380255660063,41
C3_Cancel public events,Mortality due to COVID-19,0.010211527083196168,42
C3_Cancel public events,Secure Internet servers ,0.010192424978264565,43
C3_Cancel public events,"Electricity production from renewable sources, excluding hydroelectric",0.010005483799970478,44
C3_Cancel public events,Energy use (kg of oil equivalent per capita),0.009986135502019164,45
C3_Cancel public events,Prevalence of chronic kidney disease,0.009984458050118182,46
C3_Cancel public events,Proportion of population pushed below the $1.90 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure (%),0.00987154433819888,47
C3_Cancel public events,"Lending interest rates, percent per annum",0.009698553340453074,48
C3_Cancel public events,"Output per worker (GDP constant 2011 international $ in PPP -- ILO modelled estimates, Nov. 2019",0.00960192389307846,49
C3_Cancel public events,"Adjusted net savings, including particulate emission damage",0.009551527312745245,50
C3_Cancel public events,Corruption Perceptions Index,0.009530407320822354,51
C3_Cancel public events,Renewable energy consumption ,0.009353943752121055,52
C3_Cancel public events,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",0.009351809041298606,53
C3_Cancel public events,Prevalence of down syndrome,0.009115794208661031,54
C3_Cancel public events,"Prevalence of HIV, total (% of population ages 15-49)",0.009108396919619339,55
C3_Cancel public events,Urban population (% of total population),0.009024503231752542,56
C3_Cancel public events,Prevalence of total cancers,0.008907717981550203,57
C3_Cancel public events,"Electricity production from oil, gas and coal sources",0.008795083102229527,58
C3_Cancel public events,"Immunization, DPT (% of children ages 12-23 months)",0.008648648844936066,59
C3_Cancel public events,Access to electricity ,0.008606334654192858,60
C3_Cancel public events,Prevalence of Depressive disorders,0.008485258814350288,61
C3_Cancel public events,Proportion of women in managerial positions (%),0.008447550620712384,62
C3_Cancel public events,"Nurses and midwives (per 1,000 people)",0.00831769166213221,63
C3_Cancel public events,CO2 emissions (metric tons per capita),0.008274659675015715,64
C3_Cancel public events,Progression to secondary school (%),0.008253136450178718,65
C3_Cancel public events,Age dependency ratio (% of working-age population),0.008160618347053637,66
C3_Cancel public events,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",0.008135553036867273,67
C3_Cancel public events,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",0.008036548227501755,68
C3_Cancel public events,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",0.0079505481154531,69
C3_Cancel public events,Electric power consumption ,0.007703751014570311,70
C3_Cancel public events,Political stability and absence of violence/terrorism estimate,0.0076524408883914,71
C3_Cancel public events,People using safely managed drinking water services (% of population),0.0076505979879425345,72
C3_Cancel public events,Mobile cellular (per 100 people),0.007518745913389461,73
C3_Cancel public events,Proportion of people living below 50 percent of median income (%),0.007250198105760537,74
C3_Cancel public events,"Primary completion rate, total (% of relevant age group)",0.00724664278067777,75
C3_Cancel public events,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),0.006887945645410118,76
C3_Cancel public events,Fixed telephone subscriptions,0.006497460530457601,77
C3_Cancel public events,Electricity production from nuclear sources ,0.006396397446498896,78
C3_Cancel public events,Rule of law estimate ,0.006313298880544974,79
C3_Cancel public events,"Age dependency ratio, old (% of working-age population)",0.006211477903328255,80
C3_Cancel public events,"International tourism, receipts",0.006122769221854706,81
C3_Cancel public events,Government effectiveness estimate,0.006068338240329194,82
C3_Cancel public events,Women who believe a husband is justified in beating his wife (any of five reasons) (%),0.0060108443028696725,83
C3_Cancel public events,Rural population (% of total population),0.005967914472291533,84
C3_Cancel public events,Expenditure on social protection (% of GDP),0.005920199158611686,85
C3_Cancel public events,Coverage of social safety net programs (% of population),0.005884143100368333,86
C3_Cancel public events,Internet users (per 100 people),0.005378736500410706,87
C3_Cancel public events,Stock market capitalization (US$ million),0.005332897774008613,88
C3_Cancel public events,Starting a Business (Score),0.005182340496569058,89
C3_Cancel public events,Unemployment rate (%) - Annual,0.005107662804522544,90
C3_Cancel public events,Age dependency ratio,0.004611358386753836,91
C3_Cancel public events,Fixed telephone (per 100 people),0.004457329529681785,92
C3_Cancel public events,Growth rates of household expenditure or income per capita (%),0.004172405653308151,93
C3_Cancel public events,Refugee population by country or territory of asylum,0.0037412952181619533,94
C3_Cancel public events,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",0.003734589095849682,95
C3_Cancel public events,Proportion of population spending more than 10% of household consumption or income on out-of-pocket health care expenditure (%),0.0033593919186782058,96
C3_Cancel public events,Electricity production from coal sources ,0.0029895441351118347,97
C3_Cancel public events,"Foreign direct investment, net",0.0028848422551370455,98
C3_Cancel public events,Hospital beds (per 10 000 population),0.0027462103406192826,99
C3_Cancel public events,"Net migration rate, per 1000 population",0.0025251941915057914,100
C3_Cancel public events,Expenditure on education (% of GDP),0.0022604368142011143,101
C3_Cancel public events,Expenditure on health (% of GDP),0.002080194313968033,102
C3_Cancel public events,"Population, total",0.0017870251423523081,103
C3_Cancel public events,People with basic handwashing facilities including soap and water (% of population),0.0012852413057491308,104
C3_Cancel public events,"Literacy rate, adult total (% of people ages 15 and above)",0.0,105
C4_Restrictions on gatherings,Individuals using the Internet,0.017990142603401753,1
C4_Restrictions on gatherings,Corruption Perceptions Index,0.016660359518710796,2
C4_Restrictions on gatherings,Secure Internet servers ,0.01654902882756652,3
C4_Restrictions on gatherings,Stock market capitalization (US$ million),0.01645169633388104,4
C4_Restrictions on gatherings,Serious assault (rate),0.016023998477399565,5
C4_Restrictions on gatherings,Press freedom score,0.015749813803416633,6
C4_Restrictions on gatherings,Prevalence of Diabetes,0.01565326215155425,7
C4_Restrictions on gatherings,Fixed broadband subscriptions,0.015544508040032679,8
C4_Restrictions on gatherings,"PM2.5 air pollution, mean annual exposure",0.015093517588065522,9
C4_Restrictions on gatherings,"Adjusted net savings, including particulate emission damage",0.01488662783808614,10
C4_Restrictions on gatherings,Mortality due to COVID-19,0.014839615306964704,11
C4_Restrictions on gatherings,Voice and accountability estimate,0.014825208461895051,12
C4_Restrictions on gatherings,Human Development Index,0.014529650436310906,13
C4_Restrictions on gatherings,Electricity production from oil sources,0.014444037858811874,14
C4_Restrictions on gatherings,"Immunization, measles (% of children ages 12-23 months)",0.013904729029182949,15
C4_Restrictions on gatherings,Summary exposure value tobacco,0.013539542403255677,16
C4_Restrictions on gatherings,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),0.013101742355501992,17
C4_Restrictions on gatherings,"Nurses and midwives (per 1,000 people)",0.012913369894991866,18
C4_Restrictions on gatherings,Employment in services (% of total employment) (modeled ILO estimate),0.012877102469355842,19
C4_Restrictions on gatherings,"Incidence of tuberculosis (per 100,000 people)",0.012523145144944075,20
C4_Restrictions on gatherings,"Physicians (per 1,000 people)",0.012399405071806605,21
C4_Restrictions on gatherings,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",0.0123701010648774,22
C4_Restrictions on gatherings,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",0.012353647178306483,23
C4_Restrictions on gatherings,"Trade, total as % of GDP",0.012201474396447393,24
C4_Restrictions on gatherings,Volume of imports,0.012150803770808466,25
C4_Restrictions on gatherings,"Electricity production from renewable sources, excluding hydroelectric",0.01176021664242193,26
C4_Restrictions on gatherings,"Energy imports, net ",0.011612271048557441,27
C4_Restrictions on gatherings,Control of corruption estimate,0.01145227533112951,28
C4_Restrictions on gatherings,Net migration,0.011230322392904692,29
C4_Restrictions on gatherings,"Intentional homicides (per 100,000 people)",0.011187916739438353,30
C4_Restrictions on gatherings,"Central government debt, total",0.011082357369536259,31
C4_Restrictions on gatherings,"Output per worker (GDP constant 2011 international $ in PPP -- ILO modelled estimates, Nov. 2019",0.011053703522264936,32
C4_Restrictions on gatherings,Fossil fuel energy consumption,0.010961236440010236,33
C4_Restrictions on gatherings,"Prevalence of overweight (modeled estimate, % of children under 5)",0.010904362288652858,34
C4_Restrictions on gatherings,CO2 emissions (metric tons per capita),0.010862256575197222,35
C4_Restrictions on gatherings,Political stability and absence of violence/terrorism estimate,0.010845739296614924,36
C4_Restrictions on gatherings,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",0.010737001870542984,37
C4_Restrictions on gatherings,COVID-19 vaccine administered,0.010658880964684116,38
C4_Restrictions on gatherings,"Immunization, DPT (% of children ages 12-23 months)",0.010631417660420563,39
C4_Restrictions on gatherings,Prevalence of total cancers,0.010574501804552456,40
C4_Restrictions on gatherings,Electricity production from coal sources ,0.010569090537440299,41
C4_Restrictions on gatherings,Energy use ,0.010566743126446877,42
C4_Restrictions on gatherings,Prevalence of COVID-19,0.01053820493931458,43
C4_Restrictions on gatherings,Mobile cellular subscriptions,0.010513346797067058,44
C4_Restrictions on gatherings,"Electricity production from oil, gas and coal sources",0.010505876677234169,45
C4_Restrictions on gatherings,"Unemployment, total (% of total labor force) (modeled ILO estimate)",0.01050383441988254,46
C4_Restrictions on gatherings,Renewable energy consumption ,0.01042456512684033,47
C4_Restrictions on gatherings,Prevalence of Depressive disorders,0.010362588561641906,48
C4_Restrictions on gatherings,Government effectiveness estimate,0.010319653437705873,49
C4_Restrictions on gatherings,"Age dependency ratio, old (% of working-age population)",0.010164191991723982,50
C4_Restrictions on gatherings,Hospital beds (per 10 000 population),0.010144666247301646,51
C4_Restrictions on gatherings,Progression to secondary school (%),0.010049761352680396,52
C4_Restrictions on gatherings,CO2 emissions (kt),0.009767539997171303,53
C4_Restrictions on gatherings,Proportion of seats held by women in national parliaments (%),0.009396695035003934,54
C4_Restrictions on gatherings,Prevalence of Respiratory infections and tuberculosis,0.009303729713726634,55
C4_Restrictions on gatherings,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",0.009287882181731917,56
C4_Restrictions on gatherings,Combustible renewables and waste,0.009144782655070903,57
C4_Restrictions on gatherings,Prevalence of chronic kidney disease,0.009110875388821871,58
