Indicator,Unit,Correlation
"Population ages 75-79, female (% of female population)",proportion,0.1265575816964015
Urban population (% of total),percent,-0.12104270187734738
Population in largest city,proportion,-0.11211369662137367
Population density,persons per square kilometer,-0.11132539816353632
"Population ages 60-64, female (% of female population)",proportion,0.10585336259528813
"Population ages 65 and above, female (% of female population)",proportion,0.10530654027945827
"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",Percentage of females of the total population,0.0980639013253308
"Population ages 80 and above, male (% of male population)",proportion,0.09529628979683862
Unemployment rate (%) - Annual,percent,-0.09083800648204834
"Population ages 55-59, female (% of female population)",proportion,0.08887867577719698
"Prevalence of HIV, total (% of population ages 15-49)",percent,-0.08733299579300834
Urban population growth (annual %),total,-0.08456550272048106
Population in the largest city (% of urban population),proportion,0.08346292935162905
Population ages 65 and above (% of total population),proportion,0.07585483223445319
Secure Internet servers ,per 1 million people,-0.07063226466693655
"Population ages 70-74, female (% of female population)",proportion,0.06855002730137622
"Population ages 20-24, male (% of male population)",proportion,0.06565386151926066
"Population ages 75-79, male (% of male population)",proportion,0.06048439569026984
Proportion of seats held by women in national parliaments (%),proportion,-0.046747965541544395
Volume of imports,percent change,-0.04624656064703137
"Primary completion rate, male (% of relevant age group)",proportion,0.045153614877167236
"Population ages 65 and above, male (% of male population)",proportion,0.04443802656015231
"Primary completion rate, total (% of relevant age group)",proportion,0.04439128739875131
"Primary completion rate, female (% of relevant age group)",proportion,0.043741498852746745
"Population ages 65-69, female (% of female population)",proportion,0.041762468651006475
"Population ages 50-54, male (% of male population)",proportion,-0.037281947519946235
"Population ages 60-64, male (% of male population)",proportion,0.03358669245815276
"Population ages 70-74, male (% of male population)",proportion,0.03194543040971458
"Population ages 50-54, female (% of female population)",proportion,0.02979256710807503
Prevalence of chronic kidney disease,percent,0.022414144400217436
Production index: Industry,index,
Proportion of women in managerial positions (%),percent,
Rural population growth (annual %),proportion,0.021971897473090623
Stock market capitalization (US$ million),percent,
Volume of exports,percent change,-0.025086615573994987
Prevalence of Hypertensive heart disease,percent,0.022044751768050593
Summary exposure value tobacco,Rate (risk-weighted prevalence),0.02010573313076265
"Population ages 45-49, female (% of female population)",proportion,0.006790895021567104
Prevalence of Diabetes,percent,-0.00647584235236654
"Population ages 55-59, male (% of male population)",proportion,0.0033174970103613676
"Population ages 65-69, male (% of male population)",proportion,-0.0017142487080876786
"Population ages 45-49, male (% of male population)",proportion,-0.001293249305246302
