Country,Policy,score
Belize,H5_Investment in vaccines,10
Belize,H6_Facial Coverings,10
Belize,C3_Cancel public events,10
Belize,H8_Protection of elderly people,10
Bhutan,H7_Vaccination policy,90
Bhutan,C8_International travel controls,90
Bhutan,H6_Facial Coverings,90
Bhutan,C1_School closing,90
Bhutan,E1_Income support,70
Bhutan,C6_Stay at home requirements,70
Bhutan,H8_Protection of elderly people,70
Bhutan,C7_Restrictions on internal movement,70
Bhutan,H3_Contact tracing,50
Bhutan,C5_Close public transport,50
Bhutan,C3_Cancel public events,50
Bhutan,H2_Testing policy,50
Bhutan,C4_Restrictions on gatherings,30
Bhutan,E3_Fiscal measures,30
Bhutan,E4_International support,30
Bhutan,E2_Debt/contract relief,30
Bhutan,C2_Workplace closing,10
Bhutan,H1_Public information campaigns,10
Bhutan,H4_Emergency investment in healthcare,10
Bhutan,H5_Investment in vaccines,10
Brazil,H7_Vaccination policy,90
Brazil,C2_Workplace closing,90
Brazil,C8_International travel controls,90
Brazil,H2_Testing policy,90
Brazil,E1_Income support,70
Brazil,C5_Close public transport,70
Brazil,C1_School closing,70
Brazil,C4_Restrictions on gatherings,70
Brazil,H3_Contact tracing,50
Brazil,C6_Stay at home requirements,50
Brazil,H4_Emergency investment in healthcare,50
Brazil,E3_Fiscal measures,50
Brazil,H5_Investment in vaccines,30
Brazil,H6_Facial Coverings,30
Brazil,E2_Debt/contract relief,30
Brazil,H8_Protection of elderly people,30
Brazil,C7_Restrictions on internal movement,10
Brazil,H1_Public information campaigns,10
Brazil,E4_International support,10
Brazil,C3_Cancel public events,10
Cambodia,C2_Workplace closing,90
Cambodia,H8_Protection of elderly people,90
Cambodia,C1_School closing,90
Cambodia,H2_Testing policy,90
Cambodia,H6_Facial Coverings,70
Cambodia,H7_Vaccination policy,70
Cambodia,C7_Restrictions on internal movement,70
Cambodia,C6_Stay at home requirements,70
Cambodia,C3_Cancel public events,50
Cambodia,H1_Public information campaigns,50
Cambodia,C4_Restrictions on gatherings,50
Cambodia,E3_Fiscal measures,50
Cambodia,E1_Income support,30
Cambodia,C8_International travel controls,30
Cambodia,E2_Debt/contract relief,30
Cambodia,H3_Contact tracing,30
Cambodia,C5_Close public transport,10
Cambodia,H4_Emergency investment in healthcare,10
Cambodia,H5_Investment in vaccines,10
Cambodia,E4_International support,10
Chile,H7_Vaccination policy,90
Chile,C5_Close public transport,90
Chile,C8_International travel controls,90
Chile,C4_Restrictions on gatherings,90
Chile,E1_Income support,70
Chile,H1_Public information campaigns,70
Chile,H4_Emergency investment in healthcare,70
Chile,E4_International support,70
Chile,H6_Facial Coverings,50
Chile,H2_Testing policy,50
Chile,E3_Fiscal measures,50
Chile,H3_Contact tracing,50
Chile,H5_Investment in vaccines,30
Chile,E2_Debt/contract relief,30
Chile,C2_Workplace closing,30
Chile,C1_School closing,30
Chile,C7_Restrictions on internal movement,10
Chile,C6_Stay at home requirements,10
Chile,C3_Cancel public events,10
Chile,H8_Protection of elderly people,10
China,H2_Testing policy,90
China,C3_Cancel public events,90
China,H7_Vaccination policy,90
China,C6_Stay at home requirements,90
China,E2_Debt/contract relief,70
China,H6_Facial Coverings,70
China,C2_Workplace closing,70
China,C8_International travel controls,70
China,E3_Fiscal measures,50
China,H8_Protection of elderly people,50
China,C5_Close public transport,50
China,E1_Income support,50
China,C1_School closing,30
China,H4_Emergency investment in healthcare,30
China,C7_Restrictions on internal movement,30
China,E4_International support,30
China,C4_Restrictions on gatherings,10
China,H1_Public information campaigns,10
China,H3_Contact tracing,10
China,H5_Investment in vaccines,10
Colombia,H7_Vaccination policy,90
Colombia,H6_Facial Coverings,90
Colombia,C7_Restrictions on internal movement,90
Colombia,H3_Contact tracing,90
Colombia,H8_Protection of elderly people,70
Colombia,C1_School closing,70
Colombia,C4_Restrictions on gatherings,70
Colombia,C2_Workplace closing,70
Colombia,C6_Stay at home requirements,50
Colombia,E2_Debt/contract relief,50
Colombia,E4_International support,50
Colombia,H4_Emergency investment in healthcare,50
Colombia,E3_Fiscal measures,30
Colombia,E1_Income support,30
Colombia,C8_International travel controls,30
Colombia,H1_Public information campaigns,30
Colombia,H2_Testing policy,10
Colombia,C5_Close public transport,10
Colombia,H5_Investment in vaccines,10
Colombia,C3_Cancel public events,10
Costa Rica,H6_Facial Coverings,90
Costa Rica,C7_Restrictions on internal movement,90
Costa Rica,H8_Protection of elderly people,90
Costa Rica,H3_Contact tracing,90
Costa Rica,H7_Vaccination policy,70
Costa Rica,C8_International travel controls,70
Costa Rica,C1_School closing,70
Costa Rica,C5_Close public transport,70
Costa Rica,H2_Testing policy,50
Costa Rica,C2_Workplace closing,50
Costa Rica,H5_Investment in vaccines,50
Costa Rica,E4_International support,50
Costa Rica,E1_Income support,30
Costa Rica,C4_Restrictions on gatherings,30
Costa Rica,C6_Stay at home requirements,30
Costa Rica,E3_Fiscal measures,30
Costa Rica,E2_Debt/contract relief,10
Costa Rica,C3_Cancel public events,10
Costa Rica,H1_Public information campaigns,10
Costa Rica,H4_Emergency investment in healthcare,10
Cuba,H7_Vaccination policy,90
Cuba,C8_International travel controls,90
Cuba,C2_Workplace closing,90
Cuba,C6_Stay at home requirements,90
Cuba,H1_Public information campaigns,70
Cuba,H8_Protection of elderly people,70
Cuba,H6_Facial Coverings,70
Cuba,C1_School closing,70
Cuba,C4_Restrictions on gatherings,50
Cuba,C5_Close public transport,50
Cuba,H2_Testing policy,50
Cuba,E1_Income support,50
Cuba,E2_Debt/contract relief,30
Cuba,C7_Restrictions on internal movement,30
Cuba,E4_International support,30
Cuba,H3_Contact tracing,30
Cuba,H4_Emergency investment in healthcare,10
Cuba,H5_Investment in vaccines,10
Cuba,C3_Cancel public events,10
Cuba,E3_Fiscal measures,10
Dominican Republic,H7_Vaccination policy,90
Dominican Republic,H8_Protection of elderly people,90
Dominican Republic,C7_Restrictions on internal movement,90
Dominican Republic,C8_International travel controls,90
Dominican Republic,C6_Stay at home requirements,70
Dominican Republic,H1_Public information campaigns,70
Dominican Republic,C4_Restrictions on gatherings,70
Dominican Republic,H6_Facial Coverings,70
Dominican Republic,C1_School closing,50
Dominican Republic,E3_Fiscal measures,50
Dominican Republic,E1_Income support,50
Dominican Republic,C5_Close public transport,50
Dominican Republic,H4_Emergency investment in healthcare,30
Dominican Republic,H2_Testing policy,30
Dominican Republic,H5_Investment in vaccines,30
Dominican Republic,H3_Contact tracing,30
Dominican Republic,E2_Debt/contract relief,10
Dominican Republic,C2_Workplace closing,10
Dominican Republic,E4_International support,10
Dominican Republic,C3_Cancel public events,10
Ecuador,H7_Vaccination policy,90
Ecuador,C5_Close public transport,90
Ecuador,H8_Protection of elderly people,90
Ecuador,H1_Public information campaigns,90
Ecuador,C8_International travel controls,70
Ecuador,C7_Restrictions on internal movement,70
Ecuador,C4_Restrictions on gatherings,70
Ecuador,H2_Testing policy,70
Ecuador,H6_Facial Coverings,50
Ecuador,H3_Contact tracing,50
Ecuador,C2_Workplace closing,50
Ecuador,C6_Stay at home requirements,50
Ecuador,C1_School closing,30
Ecuador,H4_Emergency investment in healthcare,30
Ecuador,E1_Income support,30
Ecuador,E3_Fiscal measures,30
Ecuador,C3_Cancel public events,10
Ecuador,E4_International support,10
Ecuador,E2_Debt/contract relief,10
Ecuador,H5_Investment in vaccines,10
El Salvador,H6_Facial Coverings,90
El Salvador,C8_International travel controls,90
El Salvador,C4_Restrictions on gatherings,90
El Salvador,H2_Testing policy,90
El Salvador,H3_Contact tracing,70
El Salvador,H1_Public information campaigns,70
El Salvador,H7_Vaccination policy,70
El Salvador,C5_Close public transport,70
El Salvador,E2_Debt/contract relief,50
El Salvador,C1_School closing,50
El Salvador,C6_Stay at home requirements,50
El Salvador,E3_Fiscal measures,50
El Salvador,C2_Workplace closing,30
El Salvador,C7_Restrictions on internal movement,30
El Salvador,H8_Protection of elderly people,30
El Salvador,H4_Emergency investment in healthcare,30
El Salvador,E1_Income support,10
El Salvador,E4_International support,10
El Salvador,H5_Investment in vaccines,10
El Salvador,C3_Cancel public events,10
Guatemala,H3_Contact tracing,90
Guatemala,C1_School closing,90
Guatemala,C8_International travel controls,90
Guatemala,C3_Cancel public events,90
Guatemala,C5_Close public transport,70
Guatemala,E1_Income support,70
Guatemala,H7_Vaccination policy,70
Guatemala,H6_Facial Coverings,70
Guatemala,C7_Restrictions on internal movement,50
Guatemala,C4_Restrictions on gatherings,50
Guatemala,H2_Testing policy,50
Guatemala,E3_Fiscal measures,50
Guatemala,C2_Workplace closing,30
Guatemala,H4_Emergency investment in healthcare,30
Guatemala,H1_Public information campaigns,30
Guatemala,E4_International support,30
Guatemala,H5_Investment in vaccines,10
Guatemala,E2_Debt/contract relief,10
Guatemala,C6_Stay at home requirements,10
Guatemala,H8_Protection of elderly people,10
Guyana,H7_Vaccination policy,90
Guyana,C8_International travel controls,90
Guyana,H2_Testing policy,90
Guyana,C1_School closing,90
Guyana,C7_Restrictions on internal movement,70
Guyana,H8_Protection of elderly people,70
Guyana,H6_Facial Coverings,70
Guyana,E1_Income support,70
Guyana,C2_Workplace closing,50
Guyana,C5_Close public transport,50
Guyana,E3_Fiscal measures,50
Guyana,H5_Investment in vaccines,50
Guyana,H4_Emergency investment in healthcare,30
Guyana,C6_Stay at home requirements,30
Guyana,C4_Restrictions on gatherings,30
Guyana,H3_Contact tracing,30
Guyana,E2_Debt/contract relief,10
Guyana,E4_International support,10
Guyana,H1_Public information campaigns,10
Guyana,C3_Cancel public events,10
Haiti,H3_Contact tracing,90
Haiti,H2_Testing policy,90
Haiti,C2_Workplace closing,90
Haiti,C8_International travel controls,90
Haiti,C6_Stay at home requirements,70
Haiti,C1_School closing,70
Haiti,H6_Facial Coverings,70
Haiti,C4_Restrictions on gatherings,70
Haiti,C3_Cancel public events,50
Haiti,C5_Close public transport,50
Haiti,H4_Emergency investment in healthcare,50
Haiti,E2_Debt/contract relief,50
Haiti,E3_Fiscal measures,30
Haiti,H1_Public information campaigns,30
Haiti,E4_International support,30
Haiti,E1_Income support,30
Haiti,H5_Investment in vaccines,10
Haiti,C7_Restrictions on internal movement,10
Haiti,H7_Vaccination policy,10
Haiti,H8_Protection of elderly people,10
Honduras,C6_Stay at home requirements,90
Honduras,C2_Workplace closing,90
Honduras,C8_International travel controls,90
Honduras,C5_Close public transport,90
Honduras,H1_Public information campaigns,70
Honduras,E1_Income support,70
Honduras,H8_Protection of elderly people,70
Honduras,H3_Contact tracing,70
Honduras,H6_Facial Coverings,50
Honduras,H7_Vaccination policy,50
Honduras,E4_International support,50
Honduras,E2_Debt/contract relief,50
Honduras,H4_Emergency investment in healthcare,30
Honduras,C1_School closing,30
Honduras,H2_Testing policy,30
Honduras,C7_Restrictions on internal movement,30
Honduras,H5_Investment in vaccines,10
Honduras,C4_Restrictions on gatherings,10
Honduras,C3_Cancel public events,10
Honduras,E3_Fiscal measures,10
India,H7_Vaccination policy,90
India,C2_Workplace closing,90
India,C5_Close public transport,90
India,H2_Testing policy,90
India,H6_Facial Coverings,70
India,E2_Debt/contract relief,70
India,E1_Income support,70
India,C7_Restrictions on internal movement,70
India,C8_International travel controls,50
India,C1_School closing,50
India,C4_Restrictions on gatherings,50
India,H3_Contact tracing,50
India,E4_International support,30
India,C6_Stay at home requirements,30
India,E3_Fiscal measures,30
India,H4_Emergency investment in healthcare,30
India,C3_Cancel public events,10
India,H8_Protection of elderly people,10
India,H5_Investment in vaccines,10
India,H1_Public information campaigns,10
Indonesia,H7_Vaccination policy,90
Indonesia,C8_International travel controls,90
Indonesia,E1_Income support,90
Indonesia,C1_School closing,90
Indonesia,H8_Protection of elderly people,70
Indonesia,C3_Cancel public events,70
Indonesia,C6_Stay at home requirements,70
Indonesia,H2_Testing policy,70
Indonesia,C7_Restrictions on internal movement,50
Indonesia,H3_Contact tracing,50
Indonesia,C2_Workplace closing,50
Indonesia,C5_Close public transport,50
Indonesia,E3_Fiscal measures,30
Indonesia,H4_Emergency investment in healthcare,30
Indonesia,H6_Facial Coverings,30
Indonesia,H5_Investment in vaccines,30
Indonesia,C4_Restrictions on gatherings,10
Indonesia,E2_Debt/contract relief,10
Indonesia,E4_International support,10
Indonesia,H1_Public information campaigns,10
Japan,C4_Restrictions on gatherings,90
Japan,C8_International travel controls,90
Japan,H7_Vaccination policy,90
Japan,C5_Close public transport,90
Japan,H2_Testing policy,70
Japan,E2_Debt/contract relief,70
Japan,C6_Stay at home requirements,70
Japan,C2_Workplace closing,70
Japan,E1_Income support,50
Japan,C3_Cancel public events,50
Japan,H3_Contact tracing,50
Japan,E3_Fiscal measures,50
Japan,H6_Facial Coverings,30
Japan,E4_International support,30
Japan,C7_Restrictions on internal movement,30
Japan,H4_Emergency investment in healthcare,30
Japan,C1_School closing,10
Japan,H5_Investment in vaccines,10
Japan,H1_Public information campaigns,10
Japan,H8_Protection of elderly people,10
Malaysia,H7_Vaccination policy,90
Malaysia,H1_Public information campaigns,90
Malaysia,C5_Close public transport,90
Malaysia,C2_Workplace closing,90
Malaysia,C8_International travel controls,70
Malaysia,C7_Restrictions on internal movement,70
Malaysia,H2_Testing policy,70
Malaysia,E3_Fiscal measures,70
Malaysia,C1_School closing,50
Malaysia,C6_Stay at home requirements,50
Malaysia,C4_Restrictions on gatherings,50
Malaysia,H8_Protection of elderly people,50
Malaysia,E2_Debt/contract relief,30
Malaysia,E1_Income support,30
Malaysia,C3_Cancel public events,30
Malaysia,H4_Emergency investment in healthcare,30
Malaysia,H6_Facial Coverings,10
Malaysia,H3_Contact tracing,10
Malaysia,E4_International support,10
Malaysia,H5_Investment in vaccines,10
Mexico,H7_Vaccination policy,90
Mexico,E2_Debt/contract relief,90
Mexico,H1_Public information campaigns,90
Mexico,C5_Close public transport,90
Mexico,C8_International travel controls,70
Mexico,C6_Stay at home requirements,70
Mexico,H6_Facial Coverings,70
Mexico,H3_Contact tracing,70
Mexico,C2_Workplace closing,50
Mexico,E3_Fiscal measures,50
Mexico,H2_Testing policy,50
Mexico,C1_School closing,50
Mexico,H8_Protection of elderly people,30
Mexico,H4_Emergency investment in healthcare,30
Mexico,E4_International support,30
Mexico,E1_Income support,30
Mexico,C7_Restrictions on internal movement,10
Mexico,H5_Investment in vaccines,10
Mexico,C4_Restrictions on gatherings,10
Mexico,C3_Cancel public events,10
Mongolia,H6_Facial Coverings,90
Mongolia,C8_International travel controls,90
Mongolia,H7_Vaccination policy,90
Mongolia,H8_Protection of elderly people,90
Mongolia,C6_Stay at home requirements,70
Mongolia,E1_Income support,70
Mongolia,C2_Workplace closing,70
Mongolia,H2_Testing policy,70
Mongolia,E2_Debt/contract relief,50
Mongolia,C5_Close public transport,50
Mongolia,H4_Emergency investment in healthcare,50
Mongolia,C1_School closing,50
Mongolia,C3_Cancel public events,30
Mongolia,C4_Restrictions on gatherings,30
Mongolia,C7_Restrictions on internal movement,30
Mongolia,E3_Fiscal measures,30
Mongolia,H3_Contact tracing,10
Mongolia,H5_Investment in vaccines,10
Mongolia,H1_Public information campaigns,10
Mongolia,E4_International support,10
Nepal,H3_Contact tracing,90
Nepal,E2_Debt/contract relief,90
Nepal,H2_Testing policy,90
Nepal,H6_Facial Coverings,90
Nepal,H1_Public information campaigns,70
Nepal,C1_School closing,70
Nepal,C5_Close public transport,70
Nepal,C4_Restrictions on gatherings,70
Nepal,C8_International travel controls,50
Nepal,H7_Vaccination policy,50
Nepal,C3_Cancel public events,50
Nepal,E1_Income support,50
Nepal,C2_Workplace closing,30
Nepal,H8_Protection of elderly people,30
Nepal,C7_Restrictions on internal movement,30
Nepal,H4_Emergency investment in healthcare,30
Nepal,C6_Stay at home requirements,10
Nepal,E4_International support,10
Nepal,H5_Investment in vaccines,10
Nepal,E3_Fiscal measures,10
Nicaragua,H8_Protection of elderly people,90
Nicaragua,C1_School closing,90
Nicaragua,C8_International travel controls,90
Nicaragua,H6_Facial Coverings,90
Nicaragua,H3_Contact tracing,70
Nicaragua,H7_Vaccination policy,70
Nicaragua,H1_Public information campaigns,70
Nicaragua,E2_Debt/contract relief,70
Nicaragua,H2_Testing policy,50
Nicaragua,H5_Investment in vaccines,50
Nicaragua,C3_Cancel public events,50
Nicaragua,H4_Emergency investment in healthcare,50
Nicaragua,E4_International support,30
Nicaragua,C4_Restrictions on gatherings,30
Nicaragua,C2_Workplace closing,30
Nicaragua,E1_Income support,30
Nicaragua,C7_Restrictions on internal movement,10
Nicaragua,C6_Stay at home requirements,10
Nicaragua,C5_Close public transport,10
Nicaragua,E3_Fiscal measures,10
Pakistan,H8_Protection of elderly people,90
Pakistan,H3_Contact tracing,90
Pakistan,C8_International travel controls,90
Pakistan,C4_Restrictions on gatherings,90
Pakistan,C7_Restrictions on internal movement,70
Pakistan,C1_School closing,70
Pakistan,H6_Facial Coverings,70
Pakistan,E2_Debt/contract relief,70
Pakistan,C2_Workplace closing,50
Pakistan,C5_Close public transport,50
Pakistan,H7_Vaccination policy,50
Pakistan,H5_Investment in vaccines,50
Pakistan,C6_Stay at home requirements,30
Pakistan,E1_Income support,30
Pakistan,E4_International support,30
Pakistan,E3_Fiscal measures,30
Pakistan,H2_Testing policy,10
Pakistan,H1_Public information campaigns,10
Pakistan,C3_Cancel public events,10
Pakistan,H4_Emergency investment in healthcare,10
Panama,H2_Testing policy,90
Panama,H3_Contact tracing,90
Panama,H1_Public information campaigns,90
Panama,H8_Protection of elderly people,90
Panama,H7_Vaccination policy,70
Panama,H6_Facial Coverings,70
Panama,C4_Restrictions on gatherings,70
Panama,C2_Workplace closing,70
Panama,C7_Restrictions on internal movement,50
Panama,C5_Close public transport,50
Panama,C8_International travel controls,50
Panama,C6_Stay at home requirements,50
Panama,E1_Income support,30
Panama,E3_Fiscal measures,30
Panama,H4_Emergency investment in healthcare,30
Panama,C1_School closing,30
Panama,E4_International support,10
Panama,H5_Investment in vaccines,10
Panama,E2_Debt/contract relief,10
Panama,C3_Cancel public events,10
Paraguay,H7_Vaccination policy,90
Paraguay,C7_Restrictions on internal movement,90
Paraguay,H1_Public information campaigns,90
Paraguay,H2_Testing policy,90
Paraguay,H8_Protection of elderly people,70
Paraguay,C8_International travel controls,70
Paraguay,E1_Income support,70
Paraguay,C2_Workplace closing,70
Paraguay,C5_Close public transport,50
Paraguay,C3_Cancel public events,50
Paraguay,C4_Restrictions on gatherings,50
Paraguay,E2_Debt/contract relief,50
Paraguay,H6_Facial Coverings,30
Paraguay,C1_School closing,30
Paraguay,H4_Emergency investment in healthcare,30
Paraguay,H5_Investment in vaccines,30
Paraguay,E3_Fiscal measures,10
Paraguay,C6_Stay at home requirements,10
Paraguay,H3_Contact tracing,10
Paraguay,E4_International support,10
Peru,H7_Vaccination policy,90
Peru,H3_Contact tracing,90
Peru,C8_International travel controls,90
Peru,H6_Facial Coverings,90
Peru,C5_Close public transport,70
Peru,E2_Debt/contract relief,70
Peru,H2_Testing policy,70
Peru,C2_Workplace closing,70
Peru,H8_Protection of elderly people,50
Peru,C7_Restrictions on internal movement,50
Peru,H4_Emergency investment in healthcare,50
Peru,C6_Stay at home requirements,50
Peru,H5_Investment in vaccines,30
Peru,E3_Fiscal measures,30
Peru,C1_School closing,30
Peru,C4_Restrictions on gatherings,30
Peru,H1_Public information campaigns,10
Peru,E4_International support,10
Peru,E1_Income support,10
Peru,C3_Cancel public events,10
Philippines,H7_Vaccination policy,90
Philippines,H6_Facial Coverings,90
Philippines,H1_Public information campaigns,90
Philippines,H2_Testing policy,90
Philippines,C4_Restrictions on gatherings,70
Philippines,H8_Protection of elderly people,70
Philippines,E2_Debt/contract relief,70
Philippines,C6_Stay at home requirements,70
Philippines,C8_International travel controls,50
Philippines,C7_Restrictions on internal movement,50
Philippines,E1_Income support,50
Philippines,C5_Close public transport,50
Philippines,C2_Workplace closing,30
Philippines,E3_Fiscal measures,30
Philippines,H4_Emergency investment in healthcare,30
Philippines,H3_Contact tracing,30
Philippines,H5_Investment in vaccines,10
Philippines,C3_Cancel public events,10
Philippines,C1_School closing,10
Philippines,E4_International support,10
Singapore,E1_Income support,90
Singapore,C8_International travel controls,90
Singapore,E2_Debt/contract relief,90
Singapore,C6_Stay at home requirements,90
Singapore,C3_Cancel public events,70
Singapore,C2_Workplace closing,70
Singapore,H7_Vaccination policy,70
Singapore,C1_School closing,70
Singapore,C7_Restrictions on internal movement,50
Singapore,H6_Facial Coverings,50
Singapore,E3_Fiscal measures,50
Singapore,C4_Restrictions on gatherings,50
Singapore,H2_Testing policy,30
Singapore,H8_Protection of elderly people,30
Singapore,E4_International support,30
Singapore,H1_Public information campaigns,30
Singapore,H3_Contact tracing,10
Singapore,H4_Emergency investment in healthcare,10
Singapore,H5_Investment in vaccines,10
Singapore,C5_Close public transport,10
Sri Lanka,H2_Testing policy,90
Sri Lanka,C8_International travel controls,90
Sri Lanka,H7_Vaccination policy,90
Sri Lanka,H8_Protection of elderly people,90
Sri Lanka,C1_School closing,70
Sri Lanka,C4_Restrictions on gatherings,70
Sri Lanka,C3_Cancel public events,70
Sri Lanka,C5_Close public transport,70
Sri Lanka,H6_Facial Coverings,50
Sri Lanka,H5_Investment in vaccines,50
Sri Lanka,E2_Debt/contract relief,50
Sri Lanka,C7_Restrictions on internal movement,50
Sri Lanka,C6_Stay at home requirements,30
Sri Lanka,H4_Emergency investment in healthcare,30
Sri Lanka,E4_International support,30
Sri Lanka,E3_Fiscal measures,30
Sri Lanka,C2_Workplace closing,10
Sri Lanka,H1_Public information campaigns,10
Sri Lanka,E1_Income support,10
Sri Lanka,H3_Contact tracing,10
Suriname,H6_Facial Coverings,90
Suriname,H7_Vaccination policy,90
Suriname,C3_Cancel public events,90
Suriname,C5_Close public transport,90
Suriname,C1_School closing,70
Suriname,C8_International travel controls,70
Suriname,C6_Stay at home requirements,70
Suriname,C4_Restrictions on gatherings,70
Suriname,C2_Workplace closing,50
Suriname,C7_Restrictions on internal movement,50
Suriname,H8_Protection of elderly people,50
Suriname,E2_Debt/contract relief,50
Suriname,E1_Income support,30
Suriname,H2_Testing policy,30
Suriname,E3_Fiscal measures,30
Suriname,E4_International support,30
Suriname,H1_Public information campaigns,10
Suriname,H3_Contact tracing,10
Suriname,H4_Emergency investment in healthcare,10
Suriname,H5_Investment in vaccines,10
Thailand,C4_Restrictions on gatherings,90
Thailand,C8_International travel controls,90
Thailand,H8_Protection of elderly people,90
Thailand,C1_School closing,90
Thailand,E3_Fiscal measures,70
Thailand,H2_Testing policy,70
Thailand,C7_Restrictions on internal movement,70
Thailand,H6_Facial Coverings,70
Thailand,C2_Workplace closing,50
Thailand,E2_Debt/contract relief,50
Thailand,H3_Contact tracing,50
Thailand,C6_Stay at home requirements,50
Thailand,C3_Cancel public events,30
Thailand,C5_Close public transport,30
Thailand,H5_Investment in vaccines,30
Thailand,E1_Income support,30
Thailand,H4_Emergency investment in healthcare,10
Thailand,E4_International support,10
Thailand,H1_Public information campaigns,10
Thailand,H7_Vaccination policy,10
Uruguay,H7_Vaccination policy,90
Uruguay,C1_School closing,90
Uruguay,C4_Restrictions on gatherings,90
Uruguay,C8_International travel controls,90
Uruguay,C2_Workplace closing,70
Uruguay,C7_Restrictions on internal movement,70
Uruguay,H2_Testing policy,70
Uruguay,E1_Income support,70
Uruguay,E3_Fiscal measures,50
Uruguay,C6_Stay at home requirements,50
Uruguay,H8_Protection of elderly people,50
Uruguay,C3_Cancel public events,50
Uruguay,H4_Emergency investment in healthcare,30
Uruguay,C5_Close public transport,30
Uruguay,H5_Investment in vaccines,30
Uruguay,H6_Facial Coverings,30
Uruguay,E2_Debt/contract relief,10
Uruguay,H3_Contact tracing,10
Uruguay,E4_International support,10
Uruguay,H1_Public information campaigns,10
