Policy,Category,Indicator,Unit,rank,score
C2_Workplace closing,Governance,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",rating,46,0.01044614680048085
C2_Workplace closing,Social issues ,Women who believe a husband is justified in beating his wife (any of five reasons) (%),proportion,47,0.01033037189655597
C2_Workplace closing,Demographics,Internet users (per 100 people),per 100 population,48,0.010297550644321767
C2_Workplace closing,Demographics,Individuals using the Internet,percent of population,49,0.010019031958342141
C2_Workplace closing,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",percent of total labor force,50,0.009911307274590542
C2_Workplace closing,Social issues ,Coverage of social safety net programs (% of population),proportion,51,0.009811011534754065
C2_Workplace closing,Social issues ,"Literacy rate, adult total (% of people ages 15 and above)",proportion,52,0.009769721489819189
C2_Workplace closing,Social issues ,"Primary completion rate, total (% of relevant age group)",proportion,53,0.009680990934714463
C2_Workplace closing,Environment,CO2 emissions (kt),kt,54,0.00941275366229888
C2_Workplace closing,Demographics,Fixed telephone (per 100 people),per 100 population,55,0.009387790852098557
C2_Workplace closing,Demographics,Mobile cellular subscriptions,number,56,0.00911158289769597
C2_Workplace closing,Health,Prevalence of anxiety disorders,percent,57,0.008932692563360796
C2_Workplace closing,Demographics,Mobile cellular (per 100 people),per 100 population,58,0.008519114071446971
C2_Workplace closing,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",percent,59,0.00841626936656568
C2_Workplace closing,Demographics,People using at least basic sanitation services (% of population),proportion,60,0.008393349726423298
C2_Workplace closing,Health,Prevalence of total cancers,percent,61,0.008380145387497434
C2_Workplace closing,Environment,Access to electricity ,percent of population,62,0.00830796291313072
C2_Workplace closing,Social issues ,"Intentional homicides (per 100,000 people)","proportion, per 100,000 people",63,0.008300510981321984
C2_Workplace closing,Social issues ,Coverage of unemployment benefits and ALMP (% of population),proportion,64,0.008069629129865197
C2_Workplace closing,Social issues ," ""Educational attainment, at least Bachelors or equivalent, population 25+, total (%) (cumulative)"",proportion)",,65,0.008064752528830802
C2_Workplace closing,Social issues ,Gini index (World Bank estimate),index ,66,0.008059357462409836
C2_Workplace closing,Health,Prevalence of Diabetes,percent,67,0.007673423092128441
C2_Workplace closing,Social issues ,Press freedom score,score,68,0.007615874193993888
C2_Workplace closing,Social issues ,Proportion of people living below 50 percent of median income (%),proportion,69,0.007399482449302088
C2_Workplace closing,Social issues ,Proportion of population pushed below the $1.90 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure (%),proportion,70,0.007287904143066958
C2_Workplace closing,Demographics,Fixed broadband subscriptions,number,71,0.007188035157772448
C2_Workplace closing,Demographics,"Age dependency ratio, old (% of working-age population)",proportion,72,0.00718141387243007
C2_Workplace closing,Demographics,"Population, total",total,73,0.006972187633429073
C2_Workplace closing,Demographics,Rural population (% of total population),proportion,74,0.006852381522041698
C2_Workplace closing,Health,Prevalence of Depressive disorders,percent,75,0.006717244764733026
C2_Workplace closing,Environment,Renewable energy consumption ,percent of total final energy consumption,76,0.006703380057005623
C2_Workplace closing,Economics,Unemployment rate (%) - Annual,percent,77,0.006356344313306741
C2_Workplace closing,Economics,"Trade, total as % of GDP",percent,78,0.00634621999835238
C2_Workplace closing,Environment,Electricity production from nuclear sources ,percent of total,79,0.006216773520778424
C2_Workplace closing,Economics,Stock market capitalization (US$ million),percent,80,0.006105999119104636
C2_Workplace closing,Environment,"Electricity production from oil, gas and coal sources",percent of total,81,0.005897140316849583
C2_Workplace closing,Economics,Stock market capitalization (US$ million),US Dollar,82,0.005892994532270032
C2_Workplace closing,Economics,Starting a Business (Score),Score,83,0.0058677588771758665
C2_Workplace closing,Economics,"Output per worker (GDP constant 2011 international $ in PPP -- ILO modelled estimates, Nov. 2019",international $ in PPP,84,0.005758633094415248
C2_Workplace closing,Demographics,Age dependency ratio (% of working-age population),proportion,85,0.0054773451374909195
C2_Workplace closing,Environment,Fossil fuel energy consumption,percent of total,86,0.0054541480450398415
C2_Workplace closing,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",Percentage of total population,87,0.005349519628639656
C2_Workplace closing,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",Percentage of females of the total population,88,0.0053168132836908626
C2_Workplace closing,Governance,Control of corruption estimate,score,89,0.005206904793290011
C2_Workplace closing,Health,Prevalence of COVID-19,"Number (cumulative total by Dec 26,2020)",90,0.004883573182319587
C2_Workplace closing,Economics,Growth rates of household expenditure or income per capita (%),percent,91,0.0048132977086865515
C2_Workplace closing,Governance,Economic Freedom Score (Index),score,92,0.004760616210395257
C2_Workplace closing,Economics,Expenditure on social protection (% of GDP),percent,93,0.0046492486836620436
C2_Workplace closing,Health,COVID-19 vaccine administered,"Number (cumulative total by Dec 26,2020)",94,0.00447648364655817
C2_Workplace closing,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),percent,95,0.0043510859476314475
C2_Workplace closing,Health,Hospital beds (per 10 000 population),Ones,96,0.0033342801500240975
C2_Workplace closing,Economics,Expenditure on education (% of GDP),percent,97,0.0029708199774038297
C2_Workplace closing,Health,"Immunization, measles (% of children ages 12-23 months)",percent,98,0.0024667979415855966
C2_Workplace closing,Economics,"Central government debt, total",percent of GDP,99,0.002340362886558762
C2_Workplace closing,Demographics,Secure Internet servers ,per 1 million people,100,0.0018111305314151766
C2_Workplace closing,Health,"Nurses and midwives (per 1,000 people)",Ones,101,0.0011064798269006947
C2_Workplace closing,Economics,Volume of exports,percent change,102,0.00032824410503885494
C2_Workplace closing,Demographics,Age dependency ratio,percent of total population,103,0.0
C3_Cancel public events,Governance,Serious assault (rate),rate,1,0.01847053288847495
C3_Cancel public events,Environment,Energy use ,"(kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",2,0.018201372215928047
C3_Cancel public events,Social issues ,Proportion of women in managerial positions (%),percent,3,0.01813250541837757
C3_Cancel public events,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",percent,4,0.016883203036961565
C3_Cancel public events,Demographics,Urban population (% of total population),total,5,0.01649522853424652
C3_Cancel public events,Economics,"Lending interest rates, percent per annum",percent per annum,6,0.016162547587268396
C3_Cancel public events,Demographics,People with basic handwashing facilities including soap and water (% of population),proportion,7,0.015866619735915362
C3_Cancel public events,Health,Prevalence of Hypertensive heart disease,percent,8,0.015805561249573274
C3_Cancel public events,Environment,Electricity production from oil sources,percent of total,9,0.015334657387880767
C3_Cancel public events,Demographics,Rural population (% of total population),proportion,10,0.015299378936958952
C3_Cancel public events,Demographics,Mobile cellular subscriptions,number,11,0.015205315671972424
C3_Cancel public events,Health,"Physicians (per 1,000 people)",Ones,12,0.01513204021203461
C3_Cancel public events,Health,"Nurses and midwives (per 1,000 people)",Ones,13,0.014961435438929365
C3_Cancel public events,Social issues ,"Intentional homicides (per 100,000 people)","proportion, pero 100,000 people",14,0.014601711744517827
C3_Cancel public events,Health,"Incidence of tuberculosis (per 100,000 people)",Cases,15,0.01440916708027838
C3_Cancel public events,Environment,"Energy imports, net ",percent of energy use,16,0.014383467119375253
C3_Cancel public events,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",percent of total,17,0.014293301894298184
C3_Cancel public events,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",percent,18,0.01425401937710462
C3_Cancel public events,Environment,Renewable energy consumption ,percent of total final energy consumption,19,0.01419976431645942
C3_Cancel public events,Health,Prevalence of Diabetes,percent,20,0.014136014985583875
C3_Cancel public events,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",percent of total labor force,21,0.013990682139575007
C3_Cancel public events,Health,Summary exposure value tobacco,Rate (risk-weighted prevalence),22,0.013501310810796363
C3_Cancel public events,Health,Prevalence of COVID-19,"Number (cumulative total by Dec 26,2020)",23,0.013320279058719995
C3_Cancel public events,Economics,Volume of exports,percent change,24,0.013077124874136759
C3_Cancel public events,Health,COVID-19 vaccine administered,"Number (cumulative total by Dec 26,2020)",25,0.013067289383236248
C3_Cancel public events,Health,Prevalence of down syndrome,percent,26,0.012858870946261598
C3_Cancel public events,Demographics,"Age dependency ratio, old (% of working-age population)",proportion,27,0.012627517057825818
C3_Cancel public events,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",Percentage of females of the total population,28,0.012581817281640501
C3_Cancel public events,Social issues ,Press freedom score,score,29,0.012162769517213736
C3_Cancel public events,Environment,Access to electricity ,percent of population,30,0.012045915848312229
C3_Cancel public events,Environment,Electricity production from nuclear sources ,percent of total,31,0.011996272979339405
C3_Cancel public events,Social issues ,Proportion of seats held by women in national parliaments (%),proportion,32,0.01198094846684464
C3_Cancel public events,Social issues ,Coverage of unemployment benefits and ALMP (% of population),proportion,33,0.011953933932331875
C3_Cancel public events,Health,Prevalence of Depressive disorders,percent,34,0.011931725759055265
C3_Cancel public events,Health,Prevalence of chronic kidney disease,percent,35,0.011848912069409273
C3_Cancel public events,Demographics,"Population, total",total,36,0.01176262699493191
C3_Cancel public events,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),percent,37,0.011374543253365729
C3_Cancel public events,Demographics,Age dependency ratio (% of working-age population),proportion,38,0.011225021755058906
C3_Cancel public events,Environment,"Adjusted net savings, including particulate emission damage",percent of GNI,39,0.01121421206926632
C3_Cancel public events,Social issues ,Women who believe a husband is justified in beating his wife (any of five reasons) (%),proportion,40,0.01121091822220657
C3_Cancel public events,Health,Prevalence of Respiratory infections and tuberculosis,percent,41,0.011044165851120896
C3_Cancel public events,Social issues ,"Primary completion rate, total (% of relevant age group)",proportion,42,0.010718933816091675
C3_Cancel public events,Health,"Immunization, DPT (% of children ages 12-23 months)",percent,43,0.010697092816407364
C3_Cancel public events,Environment,"PM2.5 air pollution, mean annual exposure",micrograms per cubic meter,44,0.010599594277657925
C3_Cancel public events,Environment,"Electricity production from renewable sources, excluding hydroelectric",kWh,45,0.010599315671136533
C3_Cancel public events,Social issues ,Gini index (World Bank estimate),index ,46,0.010455838313848876
C3_Cancel public events,Health,Mortality due to COVID-19,"Number (cumulative total by Dec 26,2020)",47,0.010412379344585984
C3_Cancel public events,Health,Hospital beds (per 10 000 population),Ones,48,0.010250650467409084
C3_Cancel public events,Health,"Immunization, measles (% of children ages 12-23 months)",percent,49,0.010009566086988211
C3_Cancel public events,Social issues ,Coverage of social safety net programs (% of population),proportion,50,0.009838302423953076
C3_Cancel public events,Social issues ,Proportion of population spending more than 10% of household consumption or income on out-of-pocket health care expenditure (%),proportion,51,0.009821369711168563
C3_Cancel public events,Social issues ,Proportion of population pushed below the $1.90 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure (%),proportion,52,0.009798146544823931
C3_Cancel public events,Social issues ,Progression to secondary school (%),proportion,53,0.009604740278574397
C3_Cancel public events,Social issues ,Proportion of people living below 50 percent of median income (%),proportion,54,0.009566682441429998
C3_Cancel public events,Social issues ,"Intentional homicides (per 100,000 people)","proportion, per 100,000 people",55,0.009324376752349756
C3_Cancel public events,Health,Prevalence of anxiety disorders,percent,56,0.00917513497281251
C3_Cancel public events,Health,Prevalence of total cancers,percent,57,0.009159458611667176
C3_Cancel public events,Social issues ,Net migration,net total / data are 5 year estimates,58,0.00914721875138077
C3_Cancel public events,Social issues ,"Literacy rate, adult total (% of people ages 15 and above)",proportion,59,0.009145938218461888
C3_Cancel public events,Health,"Prevalence of HIV, total (% of population ages 15-49)",percent,60,0.00904160109046848
C3_Cancel public events,Social issues ," ""Educational attainment, at least Bachelors or equivalent, population 25+, total (%) (cumulative)"",proportion)",,61,0.008942754606973448
C3_Cancel public events,Health,Prevalence of obesity,percent,62,0.008843212943618428
C3_Cancel public events,Demographics,Age dependency ratio,percent of total population,63,0.008751881491268383
C3_Cancel public events,Governance,Human Development Index,index,64,0.0085680858380456
C3_Cancel public events,Governance,Economic Freedom Score (Index),score,65,0.008505080634859986
C3_Cancel public events,Economics,"Foreign direct investment, net",US Dollar,66,0.008481807705355532
C3_Cancel public events,Economics,Expenditure on social protection (% of GDP),percent,67,0.0082321450752335
C3_Cancel public events,Economics,Expenditure on health (% of GDP),percent,68,0.007798985338283151
C3_Cancel public events,Economics,Expenditure on education (% of GDP),percent,69,0.0077488425970270855
C3_Cancel public events,Economics,Employment in services (% of total employment) (modeled ILO estimate),Percentage of total employment,70,0.007458777960246727
C3_Cancel public events,Economics,"Central government debt, total",percent of GDP,71,0.007310040858620578
C3_Cancel public events,Demographics,Secure Internet servers ,per 1 million people,72,0.007287626869358957
C3_Cancel public events,Demographics,Refugee population by country or territory of asylum,proportion,73,0.007141478268439526
C3_Cancel public events,Demographics,People using safely managed drinking water services (% of population),proportion,74,0.007110655780115185
C3_Cancel public events,Demographics,People using at least basic sanitation services (% of population),proportion,75,0.007060521941701622
C3_Cancel public events,Demographics,"Net migration rate, per 1000 population",per thousand persons,76,0.006986610892692416
C3_Cancel public events,Demographics,Mobile cellular (per 100 people),per 100 population,77,0.006699082396519572
C3_Cancel public events,Demographics,Internet users (per 100 people),per 100 population,78,0.006646907212415606
C3_Cancel public events,Demographics,Individuals using the Internet,percent of population,79,0.00644380485124089
C3_Cancel public events,Demographics,Fixed telephone subscriptions,number,80,0.0062185159180671665
C3_Cancel public events,Demographics,Fixed telephone (per 100 people),per 100 population,81,0.006076463676113183
C3_Cancel public events,Demographics,Fixed broadband subscriptions,number,82,0.005822075156107952
C3_Cancel public events,Economics,Growth rates of household expenditure or income per capita (%),percent,83,0.005746161444975703
C3_Cancel public events,Economics,"International tourism, receipts",US Dollar,84,0.005628392976274272
C3_Cancel public events,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",Percentage of total population,85,0.005455617917390422
C3_Cancel public events,Environment,Combustible renewables and waste,percent of total energy,86,0.005333675017483273
C3_Cancel public events,Governance,Corruption Perceptions Index,score,87,0.005044227233328239
C3_Cancel public events,Governance,Control of corruption estimate,score,88,0.004928810050801738
C3_Cancel public events,Governance,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",rating,89,0.004883168523096363
C3_Cancel public events,Environment,Fossil fuel energy consumption,percent of total,90,0.004754681052102426
C3_Cancel public events,Environment,"Electricity production from oil, gas and coal sources",percent of total,91,0.004643305435488152
C3_Cancel public events,Environment,Electricity production from coal sources ,percent of total,92,0.004288243294351971
C3_Cancel public events,Environment,Electric power consumption ,kWh per capita,93,0.003993622560856938
