Country,Policy,score
Bangladesh,C2_Workplace closing,0.08093179174651674
Bangladesh,C5_Close public transport,0.02334053079474827
Bangladesh,C6_Stay at home requirements,0.0025086832669744233
Bangladesh,C8_International travel controls,0.0014569730318957663
Bangladesh,H3_Contact tracing,0.00047021029734278786
Bangladesh,H2_Testing policy,0.0003919132208467443
Bangladesh,E2_Debt/contract relief,0.00019341927815490895
Bangladesh,E1_Income support,7.202695898257745e-05
Bangladesh,E4_International support,6.083425811150355e-06
Bangladesh,H4_Emergency investment in healthcare,3.5124873282499943e-07
Bangladesh,C3_Cancel public events,8.20564671351414e-10
Bangladesh,E3_Fiscal measures,2.7659117779834926e-10
Bangladesh,C4_Restrictions on gatherings,2.8028474453140118e-12
Bangladesh,C1_School closing,0.0
Bangladesh,H5_Investment in vaccines,0.0
Bangladesh,C7_Restrictions on internal movement,0.0
Bangladesh,H8_Protection of elderly people,0.0
Belize,H2_Testing policy,0.6497433984403603
Belize,C6_Stay at home requirements,0.2045195454260498
Belize,C5_Close public transport,0.13529675583988474
Belize,C8_International travel controls,0.00947683018527997
Belize,C7_Restrictions on internal movement,0.0003631980981520504
Belize,E2_Debt/contract relief,0.0002766679368005928
Belize,H7_Vaccination policy,0.00021535838984023816
Belize,E4_International support,8.8759404396098e-05
Belize,H3_Contact tracing,1.8281106603012987e-05
Belize,C2_Workplace closing,1.1923740360007063e-06
Belize,E3_Fiscal measures,6.617846328110518e-09
Belize,C4_Restrictions on gatherings,6.180750909697944e-09
Belize,H4_Emergency investment in healthcare,0.0
Belize,H6_Facial Coverings,0.0
Belize,H5_Investment in vaccines,0.0
Belize,C1_School closing,0.0
Belize,H1_Public information campaigns,0.0
Belize,E1_Income support,0.0
Belize,C3_Cancel public events,0.0
Belize,H8_Protection of elderly people,0.0
Bhutan,H7_Vaccination policy,0.42223008103379484
Bhutan,H6_Facial Coverings,0.23074732969952094
Bhutan,C8_International travel controls,0.2240600982543326
Bhutan,C1_School closing,0.06645884721185834
Bhutan,E1_Income support,0.046041264200551324
Bhutan,C5_Close public transport,0.0055249033682375605
Bhutan,H8_Protection of elderly people,0.0040742628384753034
Bhutan,C6_Stay at home requirements,0.000605984756231272
Bhutan,C7_Restrictions on internal movement,0.00022749728169543855
Bhutan,H2_Testing policy,2.9112984663762458e-05
Bhutan,E3_Fiscal measures,5.566989707659504e-07
Bhutan,E2_Debt/contract relief,2.5097727619893545e-08
Bhutan,C4_Restrictions on gatherings,2.4705575625028216e-08
Bhutan,E4_International support,1.1868364761428222e-08
Bhutan,H4_Emergency investment in healthcare,5.069697290286908e-22
Bhutan,C2_Workplace closing,0.0
Bhutan,H1_Public information campaigns,0.0
Bhutan,H3_Contact tracing,0.0
Bhutan,H5_Investment in vaccines,0.0
Bhutan,C3_Cancel public events,0.0
Brazil,H7_Vaccination policy,0.6012789137627699
Brazil,C3_Cancel public events,0.13032352766134028
Brazil,C8_International travel controls,0.13030758874351633
Brazil,H1_Public information campaigns,0.05525556892639548
Brazil,E1_Income support,0.036369583595481626
Brazil,C5_Close public transport,0.02603312873027391
Brazil,C2_Workplace closing,0.006868401327654872
Brazil,H2_Testing policy,0.005543734707264027
Brazil,C4_Restrictions on gatherings,0.0041195664825267
Brazil,C6_Stay at home requirements,0.0025370124620292807
Brazil,H3_Contact tracing,0.0009375383030051803
Brazil,H4_Emergency investment in healthcare,0.00024898815245349206
Brazil,E3_Fiscal measures,0.0001334438046558328
Brazil,C1_School closing,2.8921832894822034e-05
Brazil,H5_Investment in vaccines,1.2437277110805783e-05
Brazil,H6_Facial Coverings,9.962360836129052e-07
Brazil,E2_Debt/contract relief,6.479945439199602e-07
Brazil,E4_International support,0.0
Brazil,C7_Restrictions on internal movement,0.0
Brazil,H8_Protection of elderly people,0.0
Cambodia,C6_Stay at home requirements,0.7934712358704261
Cambodia,H7_Vaccination policy,0.07903555967330221
Cambodia,C2_Workplace closing,0.05766188700990509
Cambodia,C1_School closing,0.048887258312682404
Cambodia,H3_Contact tracing,0.00936493334617315
Cambodia,H2_Testing policy,0.0084375320915344
Cambodia,C7_Restrictions on internal movement,0.002678543228308919
Cambodia,C3_Cancel public events,0.0003494783314374444
Cambodia,H1_Public information campaigns,9.623837048105113e-05
Cambodia,H6_Facial Coverings,7.416234961322159e-06
Cambodia,E3_Fiscal measures,3.652681118973757e-06
Cambodia,E1_Income support,3.2377056575772657e-06
Cambodia,C8_International travel controls,2.158944564902476e-06
Cambodia,E2_Debt/contract relief,8.51106460110583e-07
Cambodia,H8_Protection of elderly people,1.3570289796671614e-08
Cambodia,H4_Emergency investment in healthcare,3.522696546120259e-09
Cambodia,E4_International support,0.0
Cambodia,H5_Investment in vaccines,0.0
Cambodia,C5_Close public transport,0.0
Cambodia,C4_Restrictions on gatherings,0.0
Chile,H2_Testing policy,0.6666108300720076
Chile,E1_Income support,0.168623050052207
Chile,H7_Vaccination policy,0.11978766510465938
Chile,E2_Debt/contract relief,0.016082473710926477
Chile,C8_International travel controls,0.014582252593344143
Chile,C6_Stay at home requirements,0.005331648501234129
Chile,H1_Public information campaigns,0.004522179735894915
Chile,C5_Close public transport,0.0024820081055266785
Chile,C4_Restrictions on gatherings,0.001376604073171358
Chile,H4_Emergency investment in healthcare,0.00034057124973159805
Chile,E4_International support,0.00016141405086363318
Chile,H6_Facial Coverings,9.251841116661134e-05
Chile,E3_Fiscal measures,4.951719566309756e-06
Chile,H3_Contact tracing,1.1451921930848003e-06
Chile,H5_Investment in vaccines,6.804666982855205e-07
Chile,C2_Workplace closing,6.705392840043421e-09
Chile,C3_Cancel public events,2.5366054027416173e-10
Chile,H8_Protection of elderly people,1.7554362648730696e-12
Chile,C7_Restrictions on internal movement,0.0
Chile,C1_School closing,0.0
China,H2_Testing policy,0.5922737324721647
China,C3_Cancel public events,0.18791319769103215
China,H7_Vaccination policy,0.12467739214863512
China,C6_Stay at home requirements,0.05088885119571765
China,E2_Debt/contract relief,0.024374043922790075
China,H6_Facial Coverings,0.00978391384464132
China,C2_Workplace closing,0.004054819407280906
China,C8_International travel controls,0.003429309626819717
China,E3_Fiscal measures,0.0016428916841133403
China,H8_Protection of elderly people,0.0006284740579823175
China,C5_Close public transport,0.00012677875363404408
China,E1_Income support,9.617944265157386e-05
China,C1_School closing,4.311017073604263e-05
China,H4_Emergency investment in healthcare,3.891813147319624e-05
China,C4_Restrictions on gatherings,2.7004639405353996e-05
China,E4_International support,1.1369950049323912e-06
China,C7_Restrictions on internal movement,2.458159172735824e-07
China,H1_Public information campaigns,0.0
China,H3_Contact tracing,0.0
China,H5_Investment in vaccines,0.0
Colombia,H7_Vaccination policy,0.7576206057992784
Colombia,C5_Close public transport,0.1175798166798774
Colombia,C7_Restrictions on internal movement,0.07134338561654789
Colombia,H6_Facial Coverings,0.01950094166783067
Colombia,H3_Contact tracing,0.01648431659398767
Colombia,H8_Protection of elderly people,0.005430966805283996
Colombia,C1_School closing,0.004578014552844424
Colombia,C4_Restrictions on gatherings,0.003632355509339
Colombia,C2_Workplace closing,0.003447734973386033
Colombia,E2_Debt/contract relief,0.0002631350229218345
Colombia,C3_Cancel public events,9.675023768170293e-05
Colombia,E4_International support,1.358041507877779e-05
Colombia,H4_Emergency investment in healthcare,4.2705973696895605e-06
Colombia,E3_Fiscal measures,4.125478326264454e-06
Colombia,C8_International travel controls,5.024621230857813e-11
Colombia,E1_Income support,0.0
Colombia,H1_Public information campaigns,0.0
Colombia,H2_Testing policy,0.0
Colombia,C6_Stay at home requirements,0.0
Colombia,H5_Investment in vaccines,0.0
Costa Rica,H6_Facial Coverings,0.8523827285521088
Costa Rica,H8_Protection of elderly people,0.06631569342061898
Costa Rica,C7_Restrictions on internal movement,0.052813837239541306
Costa Rica,C1_School closing,0.008439334775710381
Costa Rica,C8_International travel controls,0.008281213360980299
Costa Rica,H7_Vaccination policy,0.004950357189189828
Costa Rica,H3_Contact tracing,0.0026606399567124695
Costa Rica,C5_Close public transport,0.00227304919799583
Costa Rica,C2_Workplace closing,0.0017062608034778815
Costa Rica,H5_Investment in vaccines,0.00011869255032018583
Costa Rica,E4_International support,4.7001911994734105e-05
Costa Rica,E1_Income support,8.701318279237925e-06
Costa Rica,C4_Restrictions on gatherings,2.391881395829336e-06
Costa Rica,C6_Stay at home requirements,5.473784655307724e-08
Costa Rica,E3_Fiscal measures,4.284180042642647e-08
Costa Rica,E2_Debt/contract relief,2.615399986039739e-10
Costa Rica,H1_Public information campaigns,4.873368827162312e-13
Costa Rica,H2_Testing policy,0.0
Costa Rica,H4_Emergency investment in healthcare,0.0
Costa Rica,C3_Cancel public events,0.0
Cuba,H7_Vaccination policy,0.5182587203551674
Cuba,C6_Stay at home requirements,0.26638739828528496
Cuba,C8_International travel controls,0.12183547802964184
Cuba,H1_Public information campaigns,0.07780636961899584
Cuba,C7_Restrictions on internal movement,0.006278950489497133
Cuba,H8_Protection of elderly people,0.004581259915392298
Cuba,C1_School closing,0.0017263201780610157
Cuba,H6_Facial Coverings,0.0013845054924368195
Cuba,H2_Testing policy,0.0009228326090462898
Cuba,C5_Close public transport,0.0007796657975198607
Cuba,C2_Workplace closing,3.431175127783533e-05
Cuba,E2_Debt/contract relief,3.647711512928394e-06
Cuba,E1_Income support,5.393433310088008e-07
Cuba,H3_Contact tracing,4.228347954839618e-10
Cuba,E4_International support,0.0
Cuba,C4_Restrictions on gatherings,0.0
Cuba,H4_Emergency investment in healthcare,0.0
Cuba,H5_Investment in vaccines,0.0
Cuba,C3_Cancel public events,0.0
Cuba,E3_Fiscal measures,0.0
Dominican Republic,H7_Vaccination policy,0.5235985154366816
Dominican Republic,H8_Protection of elderly people,0.2571974626635027
Dominican Republic,C7_Restrictions on internal movement,0.14338939837676234
Dominican Republic,C8_International travel controls,0.05717982337414611
Dominican Republic,C6_Stay at home requirements,0.01021880908692052
Dominican Republic,H1_Public information campaigns,0.0033985572305853477
Dominican Republic,H6_Facial Coverings,0.0024778409519897607
Dominican Republic,C4_Restrictions on gatherings,0.002329651103825867
Dominican Republic,E3_Fiscal measures,0.0001629059282958747
Dominican Republic,C2_Workplace closing,3.179852494374621e-05
Dominican Republic,E1_Income support,1.3137624304919078e-05
Dominican Republic,H4_Emergency investment in healthcare,1.9926259701066764e-06
Dominican Republic,H2_Testing policy,1.0700999264326772e-07
Dominican Republic,C1_School closing,3.111294120066831e-11
Dominican Republic,H3_Contact tracing,3.0965661005635595e-11
Dominican Republic,E2_Debt/contract relief,0.0
Dominican Republic,E4_International support,0.0
Dominican Republic,H5_Investment in vaccines,0.0
Dominican Republic,C5_Close public transport,0.0
Dominican Republic,C3_Cancel public events,0.0
Ecuador,H7_Vaccination policy,0.6077763133386143
Ecuador,C5_Close public transport,0.12484578491057889
Ecuador,C2_Workplace closing,0.11174898606934644
Ecuador,H1_Public information campaigns,0.06171010733807583
Ecuador,C7_Restrictions on internal movement,0.03803029359419016
Ecuador,C6_Stay at home requirements,0.024232460700560312
Ecuador,C4_Restrictions on gatherings,0.01471257715865729
Ecuador,C8_International travel controls,0.009040914296215376
Ecuador,H2_Testing policy,0.006389579877465261
Ecuador,H6_Facial Coverings,0.0013277941514589667
Ecuador,C1_School closing,0.00014987821517478887
Ecuador,H4_Emergency investment in healthcare,3.1424442378397493e-05
Ecuador,E1_Income support,3.504878764907653e-06
Ecuador,E3_Fiscal measures,3.810138075688554e-07
Ecuador,H8_Protection of elderly people,1.4711657261665242e-11
Ecuador,H3_Contact tracing,0.0
Ecuador,E4_International support,0.0
Ecuador,H5_Investment in vaccines,0.0
Ecuador,E2_Debt/contract relief,0.0
Ecuador,C3_Cancel public events,0.0
El Salvador,H6_Facial Coverings,0.5568107744362177
El Salvador,C8_International travel controls,0.29310346616811483
El Salvador,C4_Restrictions on gatherings,0.04543533452211856
El Salvador,C1_School closing,0.04246889689248169
El Salvador,H3_Contact tracing,0.036453635654054364
El Salvador,H1_Public information campaigns,0.01061402878429256
El Salvador,C2_Workplace closing,0.007860874767220555
El Salvador,C6_Stay at home requirements,0.005697183680617155
El Salvador,C5_Close public transport,0.0008306433740553334
El Salvador,H7_Vaccination policy,0.0006080308249616108
El Salvador,E3_Fiscal measures,6.466469622405766e-05
El Salvador,H2_Testing policy,1.997040366976755e-05
El Salvador,C7_Restrictions on internal movement,1.894835358682208e-05
El Salvador,H8_Protection of elderly people,1.2984435750917914e-05
El Salvador,E2_Debt/contract relief,3.295080512290314e-07
El Salvador,H4_Emergency investment in healthcare,1.6921801125613709e-07
El Salvador,E1_Income support,6.428057155574754e-08
El Salvador,E4_International support,0.0
El Salvador,H5_Investment in vaccines,0.0
El Salvador,C3_Cancel public events,0.0
Guatemala,H3_Contact tracing,0.5910598582452268
Guatemala,C8_International travel controls,0.22312144830829356
Guatemala,C1_School closing,0.13537881141373792
Guatemala,H8_Protection of elderly people,0.018737517910696742
Guatemala,C2_Workplace closing,0.016429731914853543
Guatemala,E1_Income support,0.007138605262489157
Guatemala,H7_Vaccination policy,0.005846868398754467
Guatemala,C7_Restrictions on internal movement,0.0011296131993333133
Guatemala,C4_Restrictions on gatherings,0.0005848941005418191
Guatemala,C3_Cancel public events,0.00036219094666245706
Guatemala,E3_Fiscal measures,0.00019528686529459585
Guatemala,H4_Emergency investment in healthcare,1.504284408484069e-05
Guatemala,H6_Facial Coverings,1.22328812983128e-07
Guatemala,H2_Testing policy,8.261217865540998e-09
Guatemala,C5_Close public transport,0.0
Guatemala,C6_Stay at home requirements,0.0
Guatemala,E2_Debt/contract relief,0.0
Guatemala,E4_International support,0.0
Guatemala,H1_Public information campaigns,0.0
Guatemala,H5_Investment in vaccines,0.0
Guyana,H2_Testing policy,0.5948595608318429
Guyana,H7_Vaccination policy,0.1865183420821647
Guyana,C8_International travel controls,0.14650411891079787
Guyana,C1_School closing,0.03750632898107569
Guyana,H8_Protection of elderly people,0.02834963123439515
Guyana,H6_Facial Coverings,0.002482122489863462
Guyana,C7_Restrictions on internal movement,0.0013557999158311028
Guyana,C4_Restrictions on gatherings,0.001033468685362971
Guyana,E1_Income support,0.000980020456889792
Guyana,C2_Workplace closing,0.00026908972786642433
Guyana,C5_Close public transport,7.873557184267607e-05
Guyana,E3_Fiscal measures,2.26636282618065e-05
Guyana,H5_Investment in vaccines,2.037854155932198e-05
Guyana,H4_Emergency investment in healthcare,1.579646537537393e-05
Guyana,C6_Stay at home requirements,3.9392678393056345e-06
Guyana,E2_Debt/contract relief,1.7228471756290601e-09
Guyana,H3_Contact tracing,1.4861842493858019e-09
Guyana,E4_International support,0.0
Guyana,H1_Public information campaigns,0.0
Guyana,C3_Cancel public events,0.0
Haiti,E1_Income support,0.7913818895412281
Haiti,H2_Testing policy,0.1510039714774492
Haiti,C2_Workplace closing,0.04150413066563913
Haiti,C8_International travel controls,0.006426500691012772
Haiti,C3_Cancel public events,0.004719437650216574
Haiti,C6_Stay at home requirements,0.0021246799655843104
Haiti,C1_School closing,0.0016049513371375068
Haiti,H6_Facial Coverings,0.0011913087617204277
Haiti,C4_Restrictions on gatherings,3.590363460842426e-05
Haiti,C5_Close public transport,5.964696303817937e-06
Haiti,H4_Emergency investment in healthcare,1.1151159910404558e-06
Haiti,E2_Debt/contract relief,1.3368715409390348e-07
Haiti,E3_Fiscal measures,1.277595477094739e-08
Haiti,H1_Public information campaigns,0.0
Haiti,H3_Contact tracing,0.0
Haiti,E4_International support,0.0
Haiti,H5_Investment in vaccines,0.0
Haiti,C7_Restrictions on internal movement,0.0
Haiti,H7_Vaccination policy,0.0
Haiti,H8_Protection of elderly people,0.0
Honduras,C5_Close public transport,0.4446447949441928
Honduras,C2_Workplace closing,0.39197495714825936
Honduras,C6_Stay at home requirements,0.1139128108548296
Honduras,E1_Income support,0.025946602755592525
Honduras,C8_International travel controls,0.009623040433939382
Honduras,H8_Protection of elderly people,0.006435353211587489
Honduras,H3_Contact tracing,0.0039137010655193
Honduras,H1_Public information campaigns,0.0019950667641555754
Honduras,E2_Debt/contract relief,0.0012162225200736516
Honduras,H2_Testing policy,0.00019587416592863077
Honduras,H6_Facial Coverings,0.00010847305921364751
Honduras,E4_International support,2.1548060103758648e-05
Honduras,H7_Vaccination policy,1.1554806734537729e-05
Honduras,E3_Fiscal measures,2.0400934054301833e-10
Honduras,C3_Cancel public events,4.372409164902204e-12
Honduras,H4_Emergency investment in healthcare,1.4879616640114298e-12
Honduras,C7_Restrictions on internal movement,0.0
Honduras,H5_Investment in vaccines,0.0
Honduras,C4_Restrictions on gatherings,0.0
Honduras,C1_School closing,0.0
India,C5_Close public transport,0.4484056405261881
India,H2_Testing policy,0.26561957314162465
India,H1_Public information campaigns,0.16501784462211802
India,H7_Vaccination policy,0.056028068686509475
India,E1_Income support,0.03377485779361615
India,C7_Restrictions on internal movement,0.021909630606286812
India,C2_Workplace closing,0.007030291442247976
India,C8_International travel controls,0.0016762360362916524
India,C4_Restrictions on gatherings,0.00033091545419543044
India,H3_Contact tracing,0.00016597157951267537
India,C1_School closing,1.6102647594526712e-05
India,E4_International support,1.2817656115463383e-05
India,H8_Protection of elderly people,1.0091520865108154e-05
India,H5_Investment in vaccines,1.820934764187281e-06
India,E3_Fiscal measures,8.144365383766165e-08
India,H6_Facial Coverings,5.0656550948581355e-08
India,H4_Emergency investment in healthcare,5.251813720345972e-09
India,C3_Cancel public events,3.378176476571233e-14
India,E2_Debt/contract relief,1.733658694297806e-14
India,C6_Stay at home requirements,2.5975982134342637e-18
Indonesia,H7_Vaccination policy,0.6596183732169117
Indonesia,H1_Public information campaigns,0.17758816315869194
Indonesia,E1_Income support,0.10069435878245564
Indonesia,H3_Contact tracing,0.027890813717250013
Indonesia,C6_Stay at home requirements,0.019459075607125044
Indonesia,C7_Restrictions on internal movement,0.008917024317231511
Indonesia,C1_School closing,0.004080969670375109
Indonesia,C8_International travel controls,0.0013050038058451416
Indonesia,H8_Protection of elderly people,0.0002885156101036366
Indonesia,C2_Workplace closing,0.0001272264298315272
Indonesia,C5_Close public transport,1.968638230706533e-05
Indonesia,E3_Fiscal measures,1.046650808327117e-05
Indonesia,H4_Emergency investment in healthcare,2.830072672744532e-07
Indonesia,H6_Facial Coverings,2.3249331033344658e-08
Indonesia,H5_Investment in vaccines,1.066106863202948e-08
Indonesia,C4_Restrictions on gatherings,3.132884533756081e-09
Indonesia,E2_Debt/contract relief,2.7069058787849676e-09
Indonesia,C3_Cancel public events,3.6330041369301534e-11
Indonesia,H2_Testing policy,8.924766145361668e-16
Indonesia,E4_International support,0.0
Japan,C4_Restrictions on gatherings,0.8663423129807263
Japan,C5_Close public transport,0.047848150878104005
Japan,H2_Testing policy,0.03439828972038208
Japan,E1_Income support,0.018672730819917667
Japan,E2_Debt/contract relief,0.014877197905256798
Japan,C6_Stay at home requirements,0.007046839965577736
Japan,C2_Workplace closing,0.005888124910357342
Japan,H7_Vaccination policy,0.0020488059287906172
Japan,C8_International travel controls,0.0013515471830277581
Japan,H3_Contact tracing,0.0011027610227111642
Japan,C3_Cancel public events,0.0001977037906317471
Japan,C7_Restrictions on internal movement,8.416014933625177e-05
Japan,E3_Fiscal measures,4.6295222167839765e-05
Japan,H6_Facial Coverings,4.5425766549344073e-05
Japan,E4_International support,3.034592149144411e-05
Japan,H8_Protection of elderly people,1.8398893243651096e-05
Japan,H4_Emergency investment in healthcare,6.52622240145859e-07
Japan,C1_School closing,1.9860999413673805e-07
Japan,H5_Investment in vaccines,5.727703280657779e-08
Japan,H1_Public information campaigns,4.324611520297827e-10
Malaysia,H7_Vaccination policy,0.6672967078662146
Malaysia,C4_Restrictions on gatherings,0.14039804574702036
Malaysia,H2_Testing policy,0.1098938212585692
Malaysia,C8_International travel controls,0.03810449212561474
Malaysia,C7_Restrictions on internal movement,0.03366233108105602
Malaysia,H3_Contact tracing,0.006583668638204064
Malaysia,C5_Close public transport,0.0021239790325617435
Malaysia,C6_Stay at home requirements,0.0009647933348362765
Malaysia,E3_Fiscal measures,0.00047582490393748613
Malaysia,C2_Workplace closing,0.0002956030383089895
Malaysia,C1_School closing,0.0001890574763430584
Malaysia,H8_Protection of elderly people,1.041623534963712e-05
Malaysia,E2_Debt/contract relief,1.1842254428147235e-06
Malaysia,E1_Income support,5.99495585633406e-08
Malaysia,C3_Cancel public events,9.994857251415856e-09
Malaysia,H4_Emergency investment in healthcare,4.437817389369215e-09
Malaysia,H6_Facial Coverings,6.543078001595216e-10
Malaysia,E4_International support,0.0
Malaysia,H1_Public information campaigns,0.0
Malaysia,H5_Investment in vaccines,0.0
Mexico,H7_Vaccination policy,0.8056794077559732
Mexico,E2_Debt/contract relief,0.155095263560947
Mexico,C8_International travel controls,0.013528837909445111
Mexico,H6_Facial Coverings,0.009123876527505919
Mexico,H3_Contact tracing,0.008997869237827425
Mexico,C6_Stay at home requirements,0.0039095328419004715
Mexico,C3_Cancel public events,0.0025393244891192333
Mexico,C2_Workplace closing,0.0009039615799796154
Mexico,E3_Fiscal measures,0.0002214754051432659
Mexico,H2_Testing policy,4.4503703300363097e-07
Mexico,C5_Close public transport,5.383959557686661e-09
Mexico,H8_Protection of elderly people,1.8460387608457214e-10
Mexico,C1_School closing,7.401499618923096e-11
Mexico,C7_Restrictions on internal movement,1.2544375985090597e-11
Mexico,H4_Emergency investment in healthcare,2.942478885524168e-15
Mexico,H1_Public information campaigns,0.0
Mexico,E4_International support,0.0
Mexico,E1_Income support,0.0
Mexico,H5_Investment in vaccines,0.0
Mexico,C4_Restrictions on gatherings,0.0
Mongolia,H6_Facial Coverings,0.5615878242098715
Mongolia,H1_Public information campaigns,0.329388335327766
Mongolia,H7_Vaccination policy,0.07358362710237436
Mongolia,H8_Protection of elderly people,0.021629094708910616
Mongolia,C6_Stay at home requirements,0.00909066476116532
Mongolia,E1_Income support,0.003513420198928388
Mongolia,C2_Workplace closing,0.0009994160630335098
Mongolia,H2_Testing policy,0.0001560589079896467
Mongolia,E2_Debt/contract relief,2.60332372916816e-05
Mongolia,C5_Close public transport,1.311195548347135e-05
Mongolia,H4_Emergency investment in healthcare,9.183270976179719e-06
Mongolia,C1_School closing,1.8515401918870662e-06
Mongolia,C3_Cancel public events,7.618755327170169e-07
Mongolia,C4_Restrictions on gatherings,5.870270071191533e-07
Mongolia,C7_Restrictions on internal movement,2.1729139591972004e-08
Mongolia,E3_Fiscal measures,7.919825616460404e-09
Mongolia,C8_International travel controls,1.645123192673821e-10
Mongolia,E4_International support,0.0
Mongolia,H3_Contact tracing,0.0
Mongolia,H5_Investment in vaccines,0.0
Nepal,H3_Contact tracing,0.8909301578324479
Nepal,H2_Testing policy,0.0679307873871778
Nepal,H6_Facial Coverings,0.014212115026598492
Nepal,C4_Restrictions on gatherings,0.01139616593897653
Nepal,E1_Income support,0.006110877927611534
Nepal,C1_School closing,0.00394987155450997
Nepal,C5_Close public transport,0.0034833227059742266
Nepal,E2_Debt/contract relief,0.0006766111684316973
Nepal,C8_International travel controls,0.0005632180329474307
Nepal,C3_Cancel public events,0.0002952035961127506
Nepal,H7_Vaccination policy,0.0002822139587817572
Nepal,C2_Workplace closing,0.0001048428696243466
Nepal,H8_Protection of elderly people,6.333166100900112e-05
Nepal,C7_Restrictions on internal movement,1.2802271457474345e-06
Nepal,H4_Emergency investment in healthcare,1.1265088563048574e-10
Nepal,H1_Public information campaigns,7.066995359272843e-29
Nepal,E4_International support,0.0
Nepal,H5_Investment in vaccines,0.0
Nepal,C6_Stay at home requirements,0.0
Nepal,E3_Fiscal measures,0.0
Nicaragua,H8_Protection of elderly people,0.718683989673214
Nicaragua,C8_International travel controls,0.13948674576430994
Nicaragua,C1_School closing,0.12808396553619195
Nicaragua,H6_Facial Coverings,0.009471940209029663
Nicaragua,H3_Contact tracing,0.003906993958008502
Nicaragua,H1_Public information campaigns,0.00033100189850214165
Nicaragua,E2_Debt/contract relief,3.5355861871987376e-05
Nicaragua,H2_Testing policy,7.098871695711881e-09
Nicaragua,C4_Restrictions on gatherings,0.0
Nicaragua,H7_Vaccination policy,0.0
Nicaragua,H5_Investment in vaccines,0.0
Nicaragua,H4_Emergency investment in healthcare,0.0
Nicaragua,E4_International support,0.0
Nicaragua,C5_Close public transport,0.0
Nicaragua,C2_Workplace closing,0.0
Nicaragua,E1_Income support,0.0
Nicaragua,C3_Cancel public events,0.0
Nicaragua,C7_Restrictions on internal movement,0.0
Nicaragua,C6_Stay at home requirements,0.0
Nicaragua,E3_Fiscal measures,0.0
Pakistan,C8_International travel controls,0.48530486042783266
Pakistan,H7_Vaccination policy,0.17350500173322536
Pakistan,H3_Contact tracing,0.1467035614842265
Pakistan,C2_Workplace closing,0.12209814134591782
Pakistan,H6_Facial Coverings,0.05911458350745946
Pakistan,C1_School closing,0.009337352047737606
Pakistan,E2_Debt/contract relief,0.001235364392223452
Pakistan,C7_Restrictions on internal movement,0.0009267513975584203
Pakistan,C3_Cancel public events,0.0007055219872173598
Pakistan,C5_Close public transport,0.00047656423386620436
Pakistan,C4_Restrictions on gatherings,0.0004181518946272984
Pakistan,H5_Investment in vaccines,0.0001231007343944539
Pakistan,C6_Stay at home requirements,4.715432485847779e-05
Pakistan,E1_Income support,1.8355632025518417e-06
Pakistan,E4_International support,1.7604477210874459e-06
Pakistan,E3_Fiscal measures,2.52890958029859e-07
Pakistan,H2_Testing policy,3.967778785389061e-08
Pakistan,H4_Emergency investment in healthcare,1.9091852056010598e-09
Pakistan,H1_Public information campaigns,0.0
Pakistan,H8_Protection of elderly people,0.0
Panama,H3_Contact tracing,0.6102023657583782
Panama,H8_Protection of elderly people,0.23673351006198584
