Indicator,Unit,influence
"Population ages 40-44, male (% of male population)",proportion,-0.04912437405675867
"Population ages 15-64, female (% of female population)",proportion,-0.049110693485654285
Population in urban agglomerations of more than 1 million (% of total population),proportion,0.048607498175913574
"Population ages 05-09, female (% of female population)",proportion,-0.04734509906783898
"Population ages 20-24, male (% of male population)",proportion,-0.046694834249115004
"Population ages 0-14, female (% of female population)",proportion,-0.04666019989886599
"Population ages 45-49, female (% of female population)",proportion,-0.04642994321887508
Population growth (annual %),proportion,-0.04503243072261333
"Population ages 65-69, male (% of male population)",proportion,-0.04498981007314564
"Population, female (% of total population)",proportion,-0.04398306377145093
"Population ages 40-44, female (% of female population)",proportion,-0.04390492144829528
"Population ages 70-74, female (% of female population)",proportion,-0.04324501896831004
"Labour force participation rate (Total) - Youth, adults: 15-64",percent,-0.0427131039354308
"Population ages 00-04, male (% of male population)",proportion,-0.042576672419440825
Age dependency ratio (% of working-age population),proportion,-0.04257285311418224
"Population ages 20-24, female (% of female population)",proportion,-0.04232919929452328
"Foreign direct investment, net",US Dollar,0.04181775934552131
"Population ages 10-14, female (% of female population)",proportion,-0.04180610091313765
"Population ages 65-69, female (% of female population)",proportion,-0.04168277999483222
Population in the largest city (% of urban population),proportion,-0.041504490543007394
Rural population,proportion,0.0413179774823747
"Age dependency ratio, young (% of working-age population)",proportion,-0.041194623859620486
"Population ages 05-09, male (% of male population)",proportion,-0.03956351225323262
"Population ages 0-14, male (% of male population)",proportion,-0.03883211017088301
"Population ages 70-74, male (% of male population)",proportion,-0.03871130804220594
"Population ages 65 and above, female (% of female population)",proportion,-0.03851789683551573
"Population ages 75-79, female (% of female population)",proportion,-0.03795657366918954
Population ages 65 and above (% of total population),proportion,-0.0375749555122644
"Population ages 65 and above, male (% of male population)",proportion,-0.036972097536260996
"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",Percentage of total population,-0.036735148754991835
Prevalence of Respiratory infections and tuberculosis,percent,-0.03648434731442796
Prevalence of anxiety disorders,percent,0.0359102356597491
"Age dependency ratio, old (% of working-age population)",proportion,-0.03519057192534783
"Population ages 15-19, female (% of female population)",proportion,-0.0348513800480395
"Population ages 10-14, male (% of male population)",proportion,-0.03395686041566814
"Population ages 75-79, male (% of male population)",proportion,-0.030266048623852407
"Population ages 15-19, male (% of male population)",proportion,-0.02989064085443662
Urban population (% of total),percent,0.02879091669029659
"Population ages 80 and above, female (% of female population)",proportion,-0.028270317476698923
Doctors per 1 000 inhabitants.,Ones,0.02694929305463354
"General government net lending/borrowing, percent of fiscal year GDP",percent,-0.026324586603505454
Volume of imports,percent change,-0.02617787182123029
Production index: Industry,index,-0.02545902427826194
Interest rate on loans and discounts - short-term,percent per annum,-0.02539025919575646
Interest rate on loans and discounts - long-term,percent per annum,-0.02539025919575628
"Population ages 80 and above, male (% of male population)",proportion,-0.024778863703829434
Hospital beds (per 10 000 population),Ones,-0.024653670739067147
"Incidence of tuberculosis (per 100,000 people)",Cases,-0.0244475210234079
"International tourism, receipts",US Dollar,-0.023510529523291964
Interest rate on loans and discounts,percent per annum,0.022614456319927034
"Literacy rate, adult male (% of males ages 15 and above)",proportion,-0.02142842160936031
"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",proportion,-0.021428421609360253
"Literacy rate, adult female (% of females ages 15 and above)",proportion,-0.02142842160936023
"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",proportion,-0.02142842160936018
"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",proportion,-0.02142842160936017
"Literacy rate, adult total (% of people ages 15 and above)",proportion,-0.021428421609360152
Urban population (% of total population),total,-0.020323690805823438
Refugee population by country or territory of asylum,proportion,0.018603118184568675
Proportion of seats held by women in national parliaments (%),proportion,0.01793418760577562
Production index: Manufacturing,index,0.016441300992089868
Production index: Mining,index,0.016011697190800322
Prevalence of Depressive disorders,percent,0.015674231251211816
Prevalence of Hypertensive heart disease,percent,0.013580575775534875
Interest rate on time deposits of over 12 months,percent,-0.011784760062435994
"Population, mid-year",person,-0.006787116098622025
"Labor force participation rate, male (% of male population ages 15+) (national estimate)",Percentage of males of the total population,-0.0029536378518849105
Stock market capitalization (US$ million),percent,
